Kata,Klasifikasi
Pemimpin,PROPN
Umum,PROPN
/,PUNCT
Redaksi,PROPN
Renungan,PROPN
Harian,PROPN
Anggur,PROPN
Baru,PROPN
.,PUNCT
Ia,PRON
menjabat,VERB
sebagai,ADP
Sekretaris,NOUN
II,NUM
BPH,NOUN
Sinode,NOUN
Gereja,NOUN
Bethel,PROPN
Indonesia,PROPN
untuk,ADP
periode,NOUN
2008,NUM
-,PUNCT
2012,NUM
.,PUNCT
Lelaki,PROPN
dan,CCONJ
Telaga,PROPN
adalah,AUX
album,NOUN
solo,NOUN
Franky,PROPN
Sahilatua,PROPN
yang,PRON
berisi,VERB
tiga,NUM
lagu,NOUN
baru,ADJ
(,PUNCT
"""",PUNCT
Lelaki,PROPN
dan,CCONJ
Telaga,PROPN
"""",PUNCT
",",PUNCT
"""",PUNCT
Hitam,PROPN
Putih,PROPN
"""",PUNCT
",",PUNCT
dan,CCONJ
"""",PUNCT
Nyanyian,PROPN
Para,PROPN
Mantan,PROPN
"""",PUNCT
),PUNCT
dan,CCONJ
sisanya,_
sisa,NOUN
nya,PRON
adalah,AUX
lagu-lagu,NOUN
yang,PRON
diambil,VERB
dari,ADP
album-album,NOUN
solo,NOUN
Franky,PROPN
sebelumnya,ADJ
maupun,CCONJ
album-album,NOUN
Franky,PROPN
&,PUNCT
Jane,PROPN
.,PUNCT
Hal,NOUN
ini,DET
dapat,AUX
disebabkan,VERB
oleh,ADP
konsumsi,NOUN
obat,NOUN
yang,PRON
mengandung,VERB
kortikosteroid,NOUN
seperti,ADP
medroksiprogesteron,NOUN
asetat,ADJ
yang,PRON
biasa,ADV
digunakan,VERB
untuk,ADP
berbagai,DET
pengobatan,NOUN
penyakit,NOUN
akut,ADJ
",",PUNCT
atau,CCONJ
konsumsi,NOUN
bahan,NOUN
kontrasepsi,NOUN
yang,PRON
mengandung,VERB
estrogen,NOUN
seperti,ADP
mestranol,NOUN
",",PUNCT
atau,CCONJ
menjalani,VERB
adrenalektomi,NOUN
yang,PRON
biasanya,ADV
mengakibatkan,VERB
terjadinya,_
terjadi,VERB
nya,DET
adenoma,NOUN
pada,ADP
kelenjar,NOUN
hipofisis,NOUN
.,PUNCT
Melingge,PROPN
adalah,AUX
gampong,PROPN
di,ADP
kecamatan,NOUN
Pulo,PROPN
Aceh,PROPN
",",PUNCT
Kabupaten,PROPN
Aceh,PROPN
Besar,PROPN
",",PUNCT
Aceh,PROPN
",",PUNCT
Indonesia,PROPN
.,PUNCT
Penggabungan,PROPN
dari,ADP
ketiganya,_
ketiga,NUM
nya,PRON
menghasilkan,VERB
kembalinya,_
kembali,NOUN
nya,PRON
ke,ADP
Tao,PROPN
.,PUNCT
Dewata,PROPN
Murni,PROPN
pertama,ADJ
adalah,AUX
chi,PROPN
universal,ADJ
dan,CCONJ
surgawi,ADJ
.,PUNCT
Widodo,PROPN
Cahyono,PROPN
Putro,PROPN
(,PUNCT
),PUNCT
adalah,AUX
seorang,DET
pelatih,NOUN
dan,CCONJ
pemain,NOUN
sepak,NOUN
bola,NOUN
legendaris,NOUN
Indonesia,PROPN
.,PUNCT
Istilah,NOUN
"""",PUNCT
Kecamatan,NOUN
"""",PUNCT
di,ADP
provinsi,PROPN
Nanggroe,PROPN
Aceh,PROPN
Darussalam,PROPN
disebut,VERB
juga,ADV
dengan,ADP
"""",PUNCT
Sagoe,PROPN
Cut,PROPN
"""",PUNCT
sedangkan,SCONJ
di,ADP
Papua,PROPN
disebut,VERB
dengan,ADP
istilah,NOUN
"""",PUNCT
Distrik,PROPN
"""",PUNCT
.,PUNCT
Wedi,PROPN
adalah,AUX
sebuah,DET
desa,NOUN
di,ADP
wilayah,NOUN
Kecamatan,PROPN
Gedangan,PROPN
",",PUNCT
Kabupaten,PROPN
Sidoarjo,PROPN
",",PUNCT
Provinsi,PROPN
Jawa,PROPN
Timur,PROPN
.,PUNCT
Versi,NOUN
remix,NOUN
Hurt,PROPN
(,PUNCT
Snowflakes,PROPN
Remix,PROPN
),PUNCT
sering,ADV
diputar,VERB
di,ADP
berbagai,DET
radio,NOUN
di,ADP
Inggris,PROPN
dan,CCONJ
sangat,ADV
populer,ADJ
di,ADP
kalangan,NOUN
penggemar,NOUN
musik,NOUN
urban,NOUN
.,PUNCT
Ryan,PROPN
Hidayat,PROPN
(,PUNCT
),PUNCT
adalah,AUX
salah,ADJ
satu,NUM
aktor,NOUN
pria,NOUN
Indonesia,PROPN
.,PUNCT
Menurut,VERB
Joseon,PROPN
Sangosa,PROPN
",",PUNCT
kehancuran,NOUN
tiga,NUM
Gojoseon,PROPN
mulai,VERB
pada,ADP
tahun,NOUN
400,NUM
SM,PROPN
",",PUNCT
ketika,SCONJ
Yan,NOUN
menyerang,NOUN
Gojoseon,PROPN
",",PUNCT
dan,CCONJ
Gihu,PROPN
menjadi,VERB
raja,NOUN
Beonjoseon,PROPN
.,PUNCT
Bulan,NOUN
November,PROPN
",",PUNCT
pasukan,NOUN
Cakraningrat,PROPN
merebut,VERB
Kartasura,PROPN
kembali,ADV
.,PUNCT
Beberapa,DET
bulan,NOUN
sebelum,ADP
Rose,PROPN
dan,CCONJ
kawan-kawan,NOUN
lulus,VERB
dari,ADP
akademi,NOUN
",",PUNCT
mereka,PRON
wajib,AUX
mengikuti,VERB
ujian,NOUN
lapangan,NOUN
.,PUNCT
SDN,PROPN
004,NUM
Bengkong,PROPN
",",PUNCT
merupakan,VERB
salah,ADJ
satu,NUM
Sekolah,NOUN
Menengah,PROPN
Dasar,PROPN
Negeri,PROPN
yang,PRON
ada,VERB
di,ADP
Provinsi,PROPN
Kepulauan,PROPN
Riau,PROPN
",",PUNCT
yang,PRON
beralamat,VERB
di,ADP
Jl,PROPN
.,PUNCT
Siak,PROPN
",",PUNCT
Baloi,PROPN
Harapan,PROPN
II,NUM
Kecamatan,NOUN
Bengkong,PROPN
-,PUNCT
Batam,PROPN
.,PUNCT
Akankah,_
Akan,AUX
kah,PART
Farah,PROPN
tetap,ADV
bertahan,VERB
hidup,VERB
?,PUNCT
Di,ADP
album,NOUN
Sgt,PROPN
.,PUNCT
Pepper's,PROPN
Lonely,PROPN
Hearts,PROPN
Club,PROPN
Band,NOUN
",",PUNCT
band,NOUN
ini,DET
juga,ADV
menggunakan,VERB
beragam,DET
alat,NOUN
musik,NOUN
India,PROPN
dalam,ADP
lagu,NOUN
',PUNCT
Within,PROPN
You,PROPN
Without,PROPN
You,PROPN
',PUNCT
",",PUNCT
klarinet,NOUN
di,ADP
',PUNCT
When,PROPN
I,PROPN
',PUNCT
m,PROPN
Sixty,PROPN
-,PUNCT
Four,PROPN
',PUNCT
",",PUNCT
alat,NOUN
musik,NOUN
gesek,VERB
di,ADP
',PUNCT
She's,PROPN
Leaving,PROPN
Home,PROPN
',PUNCT
",",PUNCT
harpsicord,PROPN
di,ADP
',PUNCT
Fixing,PROPN
a,PROPN
Hole,PROPN
',PUNCT
",",PUNCT
harmonium,NOUN
di,ADP
',PUNCT
Being,PROPN
the,PROPN
Benefit,PROPN
of,PROPN
Mr,PROPN
.,PUNCT
Kite,PROPN
',PUNCT
dan,CCONJ
masih,ADV
banyak,ADJ
lagi,ADV
.,PUNCT
Konsekuensi,NOUN
logis,ADJ
dapat,AUX
pula,ADV
diekspresikan,VERB
sebagai,ADP
suatu,DET
fungsi,NOUN
dari,ADP
himpunan,NOUN
kalimat,NOUN
terhadap,ADP
himpunan,NOUN
kalimat,NOUN
lain,ADJ
(,PUNCT
formulasi,NOUN
Tarski,PROPN
),PUNCT
",",PUNCT
atau,CCONJ
sebagai,ADP
hubungan,NOUN
antara,ADP
dua,NUM
himpunan,NOUN
kalimat,NOUN
(,PUNCT
logika,NOUN
simpulan,NOUN
jamak,NOUN
",",PUNCT
multiple,PROPN
-,PUNCT
conclusion,PROPN
logic,PROPN
),PUNCT
.,PUNCT
Terminal,PROPN
kargo,PROPN
berlokasi,VERB
di,ADP
timur,NOUN
laut,NOUN
terminal,NOUN
penumpang,NOUN
dan,CCONJ
memiliki,VERB
luas,NOUN
bangunan,NOUN
9000,NUM
m²,NOUN
",",PUNCT
dan,CCONJ
merupakan,VERB
bekas,NOUN
bangunan,NOUN
terminal,NOUN
.,PUNCT
Krisis,PROPN
finansial,ADJ
Islandia,PROPN
2008,NUM
adalah,AUX
masalah,NOUN
di,ADP
Islandia,PROPN
yang,PRON
memengaruhi,VERB
ekonomi,NOUN
dan,CCONJ
sistem,NOUN
perbankan,NOUN
Islandia,PROPN
",",PUNCT
sebagai,ADP
dampak,NOUN
dari,ADP
krisis,NOUN
ekonomi,NOUN
dunia,NOUN
2008,NUM
.,PUNCT
Sekitar,ADV
95,NUM
%,SYM
kreatina,PROPN
disimpan,VERB
di,ADP
dalam,ADP
otot,NOUN
rangka,NOUN
.,PUNCT
Namun,ADV
",",PUNCT
hal,NOUN
ini,DET
rupanya,ADV
membuat,VERB
Amba,PROPN
Franda,PROPN
yang,PRON
juga,ADV
memiliki,VERB
manajemen,NOUN
merasa,VERB
tersaingi,VERB
.,PUNCT
Diperkirakan,VERB
ada,VERB
sekitar,ADP
11,NUM
sampai,ADP
12,NUM
juta,NUM
jiwa,NOUN
bangsa,NOUN
Armenia,PROPN
di,ADP
dunia,NOUN
.,PUNCT
Ia,PRON
mempunyai,VERB
seorang,DET
istri,NOUN
dan,CCONJ
empat,NUM
orang,NOUN
anak,NOUN
.,PUNCT
Geovedi,PROPN
mengaku,VERB
pernah,ADV
meretas,VERB
dua,NUM
satelit,NOUN
Indonesia,PROPN
dan,CCONJ
Cina,PROPN
milik,VERB
para,DET
kliennya,_
klien,NOUN
nya,PRON
.,PUNCT
Kebanyakan,DET
penduduknya,_
penduduk,NOUN
nya,PRON
beragama,VERB
Katolik,PROPN
Roma,PROPN
",",PUNCT
namun,CCONJ
ada,VERB
pula,ADV
sedikit,ADV
orang,NOUN
Islam,PROPN
di,ADP
situ,NOUN
.,PUNCT
Duryodana,NOUN
yang,PRON
selalu,ADV
merasa,VERB
cemburu,ADJ
dengan,ADP
Pandawa,PROPN
",",PUNCT
selalu,ADV
berusaha,VERB
membunuh,VERB
mereka,PRON
.,PUNCT
Selain,ADP
tekstil,NOUN
dan,CCONJ
barang,NOUN
pernis,ADJ
",",PUNCT
Okinawa,PROPN
terkenal,ADJ
dengan,ADP
kerajinan,NOUN
gelas,NOUN
Ryukyu,PROPN
",",PUNCT
lemari,NOUN
",",PUNCT
kerajinan,NOUN
bambu,NOUN
",",PUNCT
kertas,NOUN
Ryukyu,PROPN
",",PUNCT
dan,CCONJ
kerajinan,NOUN
perabot,NOUN
sehari-hari,ADJ
khas,ADJ
Okinawa,PROPN
.,PUNCT
Maka,SCONJ
dari,ADP
itu,PRON
",",PUNCT
Sia,PROPN
membiarkan,VERB
jiwa,PROPN
Kikyou,PROPN
bersemayam,VERB
dalam,ADP
diri,PRON
Sia,PROPN
.,PUNCT
Dan,CCONJ
beginilah,_
begini,DET
lah,PART
akibatnya,_
akibat,NOUN
nya,PRON
",",PUNCT
Rin,PROPN
seringkali,ADV
salah,VERB
paham,VERB
akibat,ADP
kelakuan,NOUN
Sia,PROPN
yang,PRON
tiba-tiba,ADV
centil,ADJ
ini,DET
walaupun,SCONJ
sebenarnya,ADV
itu,DET
adalah,AUX
ulah,NOUN
Kikyou,PROPN
.,PUNCT
Khidir,PROPN
menjawab,VERB
salamnya,_
salam,NOUN
nya,PRON
dan,CCONJ
bertanya,VERB
",",PUNCT
``,PUNCT
Dari,ADP
mana,PRON
datangnya,_
datang,VERB
nya,DET
kesejahteraan,NOUN
di,ADP
bumi,NOUN
yang,PRON
tidak,PART
mempunyai,VERB
kesejahteraan,NOUN
?,PUNCT
Awalnya,ADV
karakter,NOUN
tersebut,DET
dibuat,VERB
untuk,ADP
pasar,NOUN
asing,ADJ
",",PUNCT
yaitu,ADP
untuk,ADP
komik,NOUN
Disney,PROPN
di,ADP
Italia,PROPN
.,PUNCT
Dimana,PRON
letak,NOUN
pikiran,NOUN
?,PUNCT
Dr,PROPN
Wee,PROPN
berumahtangga,VERB
pada,ADP
1936,NUM
dengan,ADP
Koh,PROPN
Sok,PROPN
Hiong,PROPN
.,PUNCT
Menurut,ADP
laporan,NOUN
"""",PUNCT
Soeara,PROPN
Kemadjuan,PROPN
Kota,PROPN
Gedang,PROPN
"""",PUNCT
(,PUNCT
1916,NUM
),PUNCT
",",PUNCT
demi,ADP
kepentingan,NOUN
pendidikan,NOUN
",",PUNCT
para,DET
orang,NOUN
tua,ADJ
yang,PRON
waktu,NOUN
itu,DET
berpenghasilan,VERB
rata-rata,ADJ
15,NUM
gulden,NOUN
per,ADP
bulan,NOUN
",",PUNCT
sanggup,ADV
membayar,VERB
uang,NOUN
sekolah,NOUN
anaknya,_
anak,NOUN
nya,PRON
yang,PRON
mencapai,VERB
5,NUM
gulden,NOUN
per,ADP
bulan,NOUN
.,PUNCT
Film,NOUN
ini,DET
disutradarai,VERB
oleh,ADP
Akhtar,PROPN
Hussein,PROPN
",",PUNCT
dan,CCONJ
dibintangi,VERB
Trilok,PROPN
Kapoor,PROPN
",",PUNCT
Nargis,PROPN
",",PUNCT
Cukoo,PROPN
",",PUNCT
Rashid,PROPN
Khan,PROPN
",",PUNCT
Neelam,PROPN
",",PUNCT
Maruti,PROPN
Rao,PROPN
",",PUNCT
dan,CCONJ
Nissar,PROPN
.,PUNCT
Banyak,ADJ
pula,ADV
permainan,NOUN
komputer,NOUN
",",PUNCT
permainan,NOUN
video,NOUN
",",PUNCT
dan,CCONJ
lagu-lagu,NOUN
rap,ADJ
yang,PRON
menampilkan,VERB
AK,PROPN
-,PUNCT
47,NUM
.,PUNCT
Hotel,NOUN
yang,PRON
ada,VERB
di,ADP
kota,PROPN
Kuningan,PROPN
diantaranya,ADP
:,PUNCT
Gedung,PROPN
Serbaguna,PROPN
di,ADP
kota,NOUN
Kuningan,PROPN
diantaranya,ADP
:,PUNCT
Sanggariang,PROPN
",",PUNCT
Gelanggang,PROPN
Pemuda,PROPN
dan,CCONJ
Gelanggang,PROPN
Ewangga,PROPN
.,PUNCT
``,PUNCT
Hai,INTJ
Muhammad,PROPN
",",PUNCT
mengapa,ADV
kamu,PRON
mengharamkan,VERB
apa,PRON
yang,PRON
Allah,PROPN
menghalalkannya,_
menghalalkan,VERB
nya,PRON
bagimu,_
bagi,ADP
mu,PRON
;,PUNCT
kamu,PRON
mencari,VERB
kesenangan,NOUN
hati,NOUN
istri-istrimu,_
istri-istri,NOUN
mu,PRON
?,PUNCT
Jumlah,NOUN
pengguna,NOUN
Twitter,PROPN
yang,PRON
semakin,ADV
meningkat,VERB
setiap,DET
harinya,_
hari,NOUN
nya,PRON
adalah,AUX
bukti,NOUN
budaya,NOUN
masyarakat,NOUN
yang,PRON
senang,ADJ
berbagi,VERB
cerita,NOUN
serta,CCONJ
foto,NOUN
keseharian,ADJ
dalam,ADP
hidup,NOUN
.,PUNCT
Jadi,SCONJ
",",PUNCT
kemungkinan,NOUN
besar,ADJ
Dyah,PROPN
Balitung,PROPN
yang,PRON
merupakan,VERB
menantu,NOUN
Rakai,PROPN
Watuhumalang,PROPN
(,PUNCT
raja,PROPN
Medang,PROPN
pengganti,NOUN
Rakai,PROPN
Kayuwangi,PROPN
),PUNCT
berhasil,VERB
menjadi,VERB
pahlawan,NOUN
dengan,SCONJ
menaklukkan,VERB
Rakai,PROPN
Gurunwangi,PROPN
dan,CCONJ
Rakai,PROPN
Limus,PROPN
sehingga,SCONJ
kembali,ADV
mengakui,VERB
kekuasaan,NOUN
tunggal,ADJ
di,ADP
Kerajaan,PROPN
Medang,PROPN
.,PUNCT
Siapakah,_
Siapa,PRON
kah,PART
pencipta,NOUN
bumi,NOUN
ini,DET
?,PUNCT
Karangsari,PROPN
adalah,AUX
kelurahan,NOUN
yang,PRON
berada,VERB
di,ADP
kecamatan,NOUN
Neglasari,PROPN
",",PUNCT
Kota,PROPN
Tangerang,PROPN
",",PUNCT
Banten,PROPN
",",PUNCT
Indonesia,PROPN
.,PUNCT
Tentara,PROPN
Konfederasi,PROPN
(,PUNCT
bahasa,NOUN
Inggris,PROPN
:,PUNCT
Confederate,PROPN
States,PROPN
Army,PROPN
(,PUNCT
CSA,PROPN
),PUNCT
),PUNCT
diorganisasi,VERB
pada,ADP
bulan,NOUN
Februari,PROPN
1861,NUM
untuk,SCONJ
mempertahankan,VERB
Negara,PROPN
Konfederasi,PROPN
Amerika,PROPN
yang,PRON
baru,ADV
dibentuk,VERB
dari,ADP
tindakan,NOUN
militer,ADJ
oleh,ADP
Pemerintah,NOUN
Amerika,PROPN
Serikat,PROPN
selama,ADP
Perang,PROPN
Saudara,PROPN
Amerika,PROPN
.,PUNCT
Perempuannya,_
Perempuan,NOUN
nya,PRON
mengenakan,VERB
jubah,NOUN
dengan,ADP
lengan,NOUN
baju,NOUN
yang,PRON
pendek,ADJ
serta,CCONJ
rok,NOUN
berlapis,VERB
yang,PRON
mengembang,VERB
.,PUNCT
Lagu,NOUN
ini,DET
dinamakan,VERB
Wavin,PROPN
',PUNCT
Flag,PROPN
(,PUNCT
The,PROPN
Celebration,PROPN
Remix,PROPN
),PUNCT
.,PUNCT
Ia,PRON
adalah,AUX
pesaing,NOUN
utama,ADJ
Václav,PROPN
Klaus,PROPN
.,PUNCT
Air,NOUN
terjun,NOUN
Madakaripura,PROPN
berbentuk,VERB
ceruk,NOUN
yang,PRON
dikelilingi,VERB
bukit-bukit,NOUN
yang,PRON
meneteskan,VERB
air,NOUN
pada,ADP
seluruh,DET
bidang,NOUN
tebingnya,NOUN
seperti,ADP
layaknya,_
layak,NOUN
nya,PRON
sedang,AUX
hujan,VERB
",",PUNCT
3,NUM
di,ADP
antaranya,_
antara,ADP
nya,PRON
bahkan,ADV
mengucur,VERB
deras,ADJ
membentuk,VERB
air,NOUN
terjun,NOUN
lagi,ADV
.,PUNCT
Membangun,VERB
sebuah,DET
komunitas,NOUN
memang,ADV
tidak,PART
mudah,ADJ
",",PUNCT
tetapi,CCONJ
mereka,PRON
yakin,VERB
bahwa,SCONJ
Rockto,PROPN
dengan,ADP
konsep,NOUN
yang,PRON
menarik,ADJ
dapat,AUX
menarik,VERB
minat,NOUN
para,DET
pengguna,NOUN
internet,NOUN
untuk,SCONJ
menjadi,VERB
bagian,NOUN
dari,ADP
komunitasnya,_
komunitas,NOUN
nya,PRON
.,PUNCT
Salah,ADJ
satu,NUM
indikasinya,_
indikasi,NOUN
nya,PRON
adalah,AUX
kebutuhan,NOUN
komunikasi,NOUN
yaitu,SCONJ
telepon,NOUN
rumah,NOUN
sudah,AUX
mulai,VERB
masuk,VERB
pada,ADP
Tahun,NOUN
1995,NUM
",",PUNCT
desa,NOUN
pasir,PROPN
wetan,PROPN
sudah,AUX
masuk,VERB
telepon,NOUN
sementara,SCONJ
desa,NOUN
lain,ADJ
belum,PART
masuk,VERB
.,PUNCT
Kepangeranan,NOUN
Wallachia,PROPN
",",PUNCT
Moldavia,PROPN
dan,CCONJ
Transilvania,PROPN
dikepalai,VERB
oleh,ADP
pangeran,NOUN
Wallachia,PROPN
Mihai,PROPN
Viteazul,PROPN
pada,ADP
tahun,NOUN
1600,NUM
.,PUNCT
Apabila,SCONJ
