text,label,pisah_hashtag&kata
Rasa-rasanya IKN masih hutan aja si Tjahjo udah dikeluarin duluan sama Izro’il Prof…,negative,Rasa-rasanya IKN masih hutan aja si Tjahjo udah dikeluarin duluan sama Izro’il Prof…
"Bayak burung2,  binatang langka dan tumbuhan2 langka  yg akan hilang. Jika ikn benar2 jadi dipindahkan, ingat dulu rajaampat sudah diperingatkan terumbukarangnya akan rusak jika di buka wisata. Akhirnya beneran terjadi kan. Belajarlah dari kasalahan2 sebelumnya.",negative,"Bayak burung2,  binatang langka dan tumbuhan2 langka  yg akan hilang. Jika ikn benar2 jadi dipindahkan, ingat dulu rajaampat sudah diperingatkan terumbukarangnya akan rusak jika di buka wisata. Akhirnya beneran terjadi kan. Belajarlah dari kasalahan2 sebelumnya."
Insinyur kehutanan siluman yang merusak hutan kalimantan ratusan ribu hektar demi ambisi menambah hutang negara untuk sebuah proyek bernama Ibukota Klenik Nusantara. Taruhan berapa IKN mogok alias mangkrak alias bangkrut..!?,negative,Insinyur kehutanan siluman yang merusak hutan kalimantan ratusan ribu hektar demi ambisi menambah hutang negara untuk sebuah proyek bernama Ibukota Klenik Nusantara. Taruhan berapa IKN mogok alias mangkrak alias bangkrut..!?
"Bp wapres ko tenang"" aja kagak kedengaran suaranya padahal ada pendeta  minta hapus 300 ayat Al-Quran.. kemping di ikn ga keliatan..juga masalah migor adem ayem 
Semoga pa Yai sehat selalu Aamiin",negative,"Bp wapres ko tenang"" aja kagak kedengaran suaranya padahal ada pendeta  minta hapus 300 ayat Al-Quran.. kemping di ikn ga keliatan..juga masalah migor adem ayem 
Semoga pa Yai sehat selalu Aamiin"
"Hayoo..ASN, 2024 masih pilih yg memaksa ke IKN ??",negative,"Hayoo..ASN, 2024 masih pilih yg memaksa ke IKN ??"
"Cina diprediksi akan menyerang/invasi Taiwan di musim gugur (Agustus-September) tahun ini.
Jangan hanya sibuk urus IKN dan minyak goreng aja. Better be prepared for the worst...",negative,"Cina diprediksi akan menyerang/invasi Taiwan di musim gugur (Agustus-September) tahun ini.
Jangan hanya sibuk urus IKN dan minyak goreng aja. Better be prepared for the worst..."
Palingan IKN belum apa2 sudah ganti rezim,negative,Palingan IKN belum apa2 sudah ganti rezim
"Kalau IKN dah jadi dan fasilitasnya sudah lengkap pasti pada mau.

Kalau sekarang suruh pindah, disana suruh ngapain.

Yang disana gak ada semalam saja sudah gak betah",negative,"Kalau IKN dah jadi dan fasilitasnya sudah lengkap pasti pada mau.

Kalau sekarang suruh pindah, disana suruh ngapain.

Yang disana gak ada semalam saja sudah gak betah"
"Kalo enak, ya silahkan anda pindah ke IKN.
Kalo kami sih jauh, kayak dari ujung kulon ke Surabaya.
Dan kami disini yg tidak setuju, memang sudah merasa nyaman akan daerah kami tanpa hiruk pikuk embel2 ibu kota.",negative,"Kalo enak, ya silahkan anda pindah ke IKN.
Kalo kami sih jauh, kayak dari ujung kulon ke Surabaya.
Dan kami disini yg tidak setuju, memang sudah merasa nyaman akan daerah kami tanpa hiruk pikuk embel2 ibu kota."
Pemindahan IKN tanda akhir zaman,negative,Pemindahan IKN tanda akhir zaman
"Klu nggak salah, Rasulullah hijrahnya ke Madinah yg merupakan kota. Kok pindah  IKN ke tengah hutan disepertikan hijrah Rasulullah...",negative,"Klu nggak salah, Rasulullah hijrahnya ke Madinah yg merupakan kota. Kok pindah  IKN ke tengah hutan disepertikan hijrah Rasulullah..."
"Krn memang sdh hbs masa jabatannya dan sdh 2 periode.

Hayolah pak, jgn gara² IKN bpk bikin statemen yg membodohi rakyat. 
Apa bapak mau ngajarin rakyat melanggar konstitusi?

Semoga tidak ada upaya utk menggolkan penundaan pemilu, perpanjangan masa jabatan, ato 3 periode. Aamiin",negative,"Krn memang sdh hbs masa jabatannya dan sdh 2 periode.

Hayolah pak, jgn gara² IKN bpk bikin statemen yg membodohi rakyat. 
Apa bapak mau ngajarin rakyat melanggar konstitusi?

Semoga tidak ada upaya utk menggolkan penundaan pemilu, perpanjangan masa jabatan, ato 3 periode. Aamiin"
Setelah habis kemping di IKN akhirnya harga minyak ditetapkan...,negative,Setelah habis kemping di IKN akhirnya harga minyak ditetapkan...
Apo ado hubungannya DG bawa tanah minang ke ikn ?,negative,Apo ado hubungannya DG bawa tanah minang ke ikn ?
Gaada unta emang bisa jadi IKN?,negative,Gaada unta emang bisa jadi IKN?
"Lantas yang tempohari ngamuk2 sampe ada yg pamer mandau terbang segala untuk menanantang penentang penetapan IKN disana, siapa dan dari kelompok mana ?",negative,"Lantas yang tempohari ngamuk2 sampe ada yg pamer mandau terbang segala untuk menanantang penentang penetapan IKN disana, siapa dan dari kelompok mana ?"
Tunda IKN utk biaya menjalankan kontitusi,negative,Tunda IKN utk biaya menjalankan kontitusi
"Biaekan saja minyak goreng mahal, daging sapi Dikuasai kartel, daging ayam mahal....kan bangun IKN tidak butuh yang begituan.....",negative,"Biaekan saja minyak goreng mahal, daging sapi Dikuasai kartel, daging ayam mahal....kan bangun IKN tidak butuh yang begituan....."
Prediksi saya IKN akan buat musibah banjir bandang dikalimantan.,negative,Prediksi saya IKN akan buat musibah banjir bandang dikalimantan.
Hasil kemah di IKN ya?? Tega benar mereka sama rakyat ya??? Big data plus bohong big kuasa big rakus...buat rakyat big susah mesti big sabar...bug sabar biar gak du cap radikal...terimakasih karena dzikir yg membersamai kami maka sabar masih didada.,negative,Hasil kemah di IKN ya?? Tega benar mereka sama rakyat ya??? Big data plus bohong big kuasa big rakus...buat rakyat big susah mesti big sabar...bug sabar biar gak du cap radikal...terimakasih karena dzikir yg membersamai kami maka sabar masih didada.
"Jadi gini, IKN itu bukan proyek abal2, butuh dana besar untuk mewujudkannya.
Yg jadi masalahnya cuma satu: Dananya Kagak Ada.
Makanya yang bisa dilalukan baru sebatas seremoni pamer kendi.

Badingkan Saudi yg punya duit, bangun apapun mana pernah pake pamer kendi?.
Tau2 Jadi.",negative,"Jadi gini, IKN itu bukan proyek abal2, butuh dana besar untuk mewujudkannya.
Yg jadi masalahnya cuma satu: Dananya Kagak Ada.
Makanya yang bisa dilalukan baru sebatas seremoni pamer kendi.

Badingkan Saudi yg punya duit, bangun apapun mana pernah pake pamer kendi?.
Tau2 Jadi."
"Apa tidak diajak rembugan?
Tidak dilibatkan dalam proyek IKN?",negative,"Apa tidak diajak rembugan?
Tidak dilibatkan dalam proyek IKN?"
IKN singkatan opo seh? Ibukota Karbitan?,negative,IKN singkatan opo seh? Ibukota Karbitan?
"Padahal udah dikasih tau dari dulu, pembangunan IKN itu belum perlu karena masih banyak kebutuhan negara yg belum tercukupi.
Eh... Malah ngeyel. Giliran hutang membengkak, investor pada gak mau nanem dana di proyek... Pake alesan ada makelar lah, tnh udh di kavlinglah. RUWET",negative,"Padahal udah dikasih tau dari dulu, pembangunan IKN itu belum perlu karena masih banyak kebutuhan negara yg belum tercukupi.
Eh... Malah ngeyel. Giliran hutang membengkak, investor pada gak mau nanem dana di proyek... Pake alesan ada makelar lah, tnh udh di kavlinglah. RUWET"
"Maksudya bisa jadi SOP baru utk mensejahterakan oligarki .. bisa jadi apalagi momentnya pas, mau puasa dan IKN butuh banyak biaya ... ah nggak percuma nyepi di titik nol...",negative,"Maksudya bisa jadi SOP baru utk mensejahterakan oligarki .. bisa jadi apalagi momentnya pas, mau puasa dan IKN butuh banyak biaya ... ah nggak percuma nyepi di titik nol..."
"IKN IKN, urus tuh harga minyak goreng!",negative,"IKN IKN, urus tuh harga minyak goreng!"
"Banjir lagi OTW ke IKN.,...via Balikpapan...",negative,"Banjir lagi OTW ke IKN.,...via Balikpapan..."
"Yang paling ditakutkan dari mutasi ke IKN baru itu bukan pindah jauh dari keluarga, tapi temen2nya ikut pindah juga gak.",negative,"Yang paling ditakutkan dari mutasi ke IKN baru itu bukan pindah jauh dari keluarga, tapi temen2nya ikut pindah juga gak."
"Dipaksakan bangun ikn dari hutang masalah distribusi migor , solar juga ngak bener ngak cari solusi utk rakyat",negative,"Dipaksakan bangun ikn dari hutang masalah distribusi migor , solar juga ngak bener ngak cari solusi utk rakyat"
"Prilaku bangsa kita cenderung lebih suka becanda ya, Segalah ritual kendi yg jd sorotan publik. fokus soroti dampak lingkungan, ekonomi, pertahanan dll knp jd kendi yg rame, jdinya suara dr istana malah jelasin soal kendi kan bkn IKN.
#Gempa
#jokowi3periode
#Tangkap2AnakJokowi",negative,"Prilaku bangsa kita cenderung lebih suka becanda ya, Segalah ritual kendi yg jd sorotan publik. fokus soroti dampak lingkungan, ekonomi, pertahanan dll knp jd kendi yg rame, jdinya suara dr istana malah jelasin soal kendi kan bkn IKN.
#Gempa
#jokowi3periode
#Tangkap2Anak Jokowi"
"Tidak ada makan siang yang gratis, emang kemah semua gratis..?? Siapa yang keluar biaya?? Negara ?? Ngawur..ñegara ga keluar  uang..semua pembiayaan  IKN non APBN..termasuk kemah..terus siapa yang biayai...yang biayai adalah MINYAK GORENG JADI NAIK..",negative,"Tidak ada makan siang yang gratis, emang kemah semua gratis..?? Siapa yang keluar biaya?? Negara ?? Ngawur..ñegara ga keluar  uang..semua pembiayaan  IKN non APBN..termasuk kemah..terus siapa yang biayai...yang biayai adalah MINYAK GORENG JADI NAIK.."
"Lahhhh? 
Lu kudet apa kemaren di IKN masih pada Maskeran

2 hari kemudian parade MotoGP malah Ambyarrrr",negative,"Lahhhh? 
Lu kudet apa kemaren di IKN masih pada Maskeran

2 hari kemudian parade MotoGP malah Ambyarrrr"
Mohon bersabar....demi menambah dana untuk IKN soalnya,negative,Mohon bersabar....demi menambah dana untuk IKN soalnya
Korban minyak goreng. Presiden masuk sibuk ikn dalam ritual model esmka,negative,Korban minyak goreng. Presiden masuk sibuk ikn dalam ritual model esmka
𝘽... Yg di ikn bloon,negative,𝘽... Yg di ikn bloon
Satu lagi Proyek Bisnis IKN...,negative,Satu lagi Proyek Bisnis IKN...
"Busyeeet dah, harga edan dihari nol IKN",negative,"Busyeeet dah, harga edan dihari nol IKN"
"Kalau tidak bisa menyelenggarakan pemilu, mundur  aja dari jabatan..Gak usah sok Ngurusin Negara... HUt jangan bilang Anggaran Habis utk Biayai IKN...",negative,"Kalau tidak bisa menyelenggarakan pemilu, mundur  aja dari jabatan..Gak usah sok Ngurusin Negara... HUt jangan bilang Anggaran Habis utk Biayai IKN..."
"Mungkin pas pelajaran IPS pak Ganjar mbolos
IKN tanpa Jateng",negative,"Mungkin pas pelajaran IPS pak Ganjar mbolos
IKN tanpa Jateng"
"minyak naik terus harganya, ikn jalan terus, makin morat marit aja dah ni negara hhhhh",negative,"minyak naik terus harganya, ikn jalan terus, makin morat marit aja dah ni negara hhhhh"
"Woi bego 
Buat biayain ikn kumpulan satu kalimantan bisa kok.
Setoran nya tiap tahun dari tahun 1975 lebih dari 500T.
Sekarang sudah lebih 40 tahun

Apa perlu gausah disetor ke jakarta biar orang kaya elu mampos??",negative,"Woi bego 
Buat biayain ikn kumpulan satu kalimantan bisa kok.
Setoran nya tiap tahun dari tahun 1975 lebih dari 500T.
Sekarang sudah lebih 40 tahun

Apa perlu gausah disetor ke jakarta biar orang kaya elu mampos??"
Alam yg indah akan dirusak dengan pembangunan  IKN,negative,Alam yg indah akan dirusak dengan pembangunan  IKN
Arab Saudi pasti tidak akan berani investasi IKN. Mereka tau di Indonesia Si Kribo yang kemarin menghina-hina Arab bisa hidup tenteram tanpa di negara ini.,negative,Arab Saudi pasti tidak akan berani investasi IKN. Mereka tau di Indonesia Si Kribo yang kemarin menghina-hina Arab bisa hidup tenteram tanpa di negara ini.
Biar dapet dana buat IKN ya,negative,Biar dapet dana buat IKN ya
Setuju banget bang....stop IKN,negative,Setuju banget bang....stop IKN
Seakan2 anda tau dan faham bahwa yg dilakukan di IKN itu ritual dan syirik. Anda lupa seremoni dan makna simbolis nya. Apa anda hadir juga nanti utk membuktikan? Anehnya hanya saaat Jokowi jd presiden saja apapun yg dilakukan banyak menuai pro kontra dan siapa yg mem viralkan.,negative,Seakan2 anda tau dan faham bahwa yg dilakukan di IKN itu ritual dan syirik. Anda lupa seremoni dan makna simbolis nya. Apa anda hadir juga nanti utk membuktikan? Anehnya hanya saaat Jokowi jd presiden saja apapun yg dilakukan banyak menuai pro kontra dan siapa yg mem viralkan.
Iyalah fokusnya ke IKN dan lanjut preriode nya. Manalah ingat dngen janji2 yg di sampikn saat mencari suara rakyat,negative,Iyalah fokusnya ke IKN dan lanjut preriode nya. Manalah ingat dngen janji2 yg di sampikn saat mencari suara rakyat
"Bisa jadi  warga asli di sekitar IKN akan bernasib dg sebahagian besar warga betawi  yg tersingkir dan ""terusir"" dr jakarta...colek 
@PakkatDayak
 ..",negative,"Bisa jadi  warga asli di sekitar IKN akan bernasib dg sebahagian besar warga betawi  yg tersingkir dan ""terusir"" dr jakarta...colek 
@PakkatDayak
 .."
"Tapi sdh terlmbat,
Titik nol sdh di tetapkn.
Artinya UU IKN untuk mengawal pembangunan IKN.
Titik nol ibarat,peletakan batu pondasi,mau tdk mau pembgunan hrs jln terus.
Ngeluhnya sdh tak berarti.",negative,"Tapi sdh terlmbat,
Titik nol sdh di tetapkn.
Artinya UU IKN untuk mengawal pembangunan IKN.
Titik nol ibarat,peletakan batu pondasi,mau tdk mau pembgunan hrs jln terus.
Ngeluhnya sdh tak berarti."
Pa Jokowinya lagi urus moto gp dan ikn...jadi gak fokus urus orang radikal..jd lupa pesan bawahannya,negative,Pa Jokowinya lagi urus moto gp dan ikn...jadi gak fokus urus orang radikal..jd lupa pesan bawahannya
"Gurunya yang kurang cerdas 
#IKN_RampasHakRakyat 
#PinokioRajaKlenik",negative,"Gurunya yang kurang cerdas 
#IKN_Rampas Hak Rakyat 
#Pinokio Raja Klenik"
Jangan urusin IKN dah lah Minyak Goreng tuh yg urgent ...,negative,Jangan urusin IKN dah lah Minyak Goreng tuh yg urgent ...
Dia di kota ga ngerasain tanahnya di patok IKN,negative,Dia di kota ga ngerasain tanahnya di patok IKN
"Ada yg mau bela warga lokal sekitar IKN? Pamer Mandau gtu! 
@PakkatDayak
 ud denger keluhan warga sekitar IKN ini g? Apa mau bilang itu bukan warga asli?",negative,"Ada yg mau bela warga lokal sekitar IKN? Pamer Mandau gtu! 
@PakkatDayak
 ud denger keluhan warga sekitar IKN ini g? Apa mau bilang itu bukan warga asli?"
"Kami tak bgtu butuh ikn baru
Yg kmi butuh saat ini kestabilan harga swmbako pak jokowi",negative,"Kami tak bgtu butuh ikn baru
Yg kmi butuh saat ini kestabilan harga swmbako pak jokowi"
"dengan proses pembentukan UU IKN yang hanya memerlukan waktu 42 (empat puluh dua) hari dan terlihat terburu-buru, sehingga tidak membuka partisipasi publik secara maksimal sangat berpotensi menimbulkan konflik horizontal di lapangan. (3/3)

#MengawalKonstitusi
#salaMKonstitusi",negative,"dengan proses pembentukan UU IKN yang hanya memerlukan waktu 42 (empat puluh dua) hari dan terlihat terburu-buru, sehingga tidak membuka partisipasi publik secara maksimal sangat berpotensi menimbulkan konflik horizontal di lapangan. (3/3)

#Mengawal Konstitusi
#sala MKonstitusi"
"Hasil menyendiri di hutan IKN ternyata solusinya naikin harga minyak goreng, halah joooon jok.",negative,"Hasil menyendiri di hutan IKN ternyata solusinya naikin harga minyak goreng, halah joooon jok."
"Belum ada yg posting open donasi IKN  ya ??
Katanya ada yg gembar gembor mau nyumbang tuh kang aGus",negative,"Belum ada yg posting open donasi IKN  ya ??
Katanya ada yg gembar gembor mau nyumbang tuh kang aGus"
Mau ngontrak az..ribet banget daah ah...ikn..ingin korupsi nambah,negative,Mau ngontrak az..ribet banget daah ah...ikn..ingin korupsi nambah
Huh cape denger ikn,negative,Huh cape denger ikn
Krn salah tanah dn air maka IKN terbatalkan scra mistis,negative,Krn salah tanah dn air maka IKN terbatalkan scra mistis
"Kalau membangun dgn memaksakan diri di tengah krisis seperti sekarang ini apa lagi membebani APBN atau menambah beban hutang itu namanya
#IKN_RampasHakRakyat",negative,"Kalau membangun dgn memaksakan diri di tengah krisis seperti sekarang ini apa lagi membebani APBN atau menambah beban hutang itu namanya
#IKN_Rampas Hak Rakyat"
"Rakyat selalu menjadi tumbal demi kepentingan dan ambisi para pejabat negara 

#IKN_RampasHakRakyat",negative,"Rakyat selalu menjadi tumbal demi kepentingan dan ambisi para pejabat negara 

#IKN_Rampas Hak Rakyat"
"Bos IKN nya siapa ????
Orang Utan ya",negative,"Bos IKN nya siapa ????
Orang Utan ya"
"Datanya Gak Ada. 
Manusia ini kan biasa Bohong.
 
#RitualSyirik 
#IKN_RampasHakRakyat 

Astagfirullah
Na'uzubillahiminzalik",negative,"Datanya Gak Ada. 
Manusia ini kan biasa Bohong.
 
#Ritual Syirik 
#IKN_Rampas Hak Rakyat 

Astagfirullah
Na'uzubillahiminzalik"
"Presidennya Ganti jg bakalan Mangkrak proyek IKN,
Coba lihat saja nanti.
Makanya ngotot minta perpanjangan Jabatan..",negative,"Presidennya Ganti jg bakalan Mangkrak proyek IKN,
Coba lihat saja nanti.
Makanya ngotot minta perpanjangan Jabatan.."
"IKN mmg dibuat atas pesanan china, dmn thn 65 sdh diisuekan oleh komunis utk memindah ibukota kesana.
Jk ini terlaksana, China menang dan Indonesia akan tinggal kenangan. Jd Indochina.
Gagalkan IKN.!

#Tangkap2AnakJokowi 
#Tangkap2AnakJokowi 

Secepatnya.!",negative,"IKN mmg dibuat atas pesanan china, dmn thn 65 sdh diisuekan oleh komunis utk memindah ibukota kesana.
Jk ini terlaksana, China menang dan Indonesia akan tinggal kenangan. Jd Indochina.
Gagalkan IKN.!

#Tangkap2Anak Jokowi 
#Tangkap2Anak Jokowi 

Secepatnya.!"
"Berapa banyak aset negara di Jakarta yang tiba-tiba tak terpakai karena pada pindah ke IKN? Ratusan? Ribuan?

Di mana posisi aset-aset itu? Di tempat sangat-sangat strategis bukan?",negative,"Berapa banyak aset negara di Jakarta yang tiba-tiba tak terpakai karena pada pindah ke IKN? Ratusan? Ribuan?

Di mana posisi aset-aset itu? Di tempat sangat-sangat strategis bukan?"
"Bisaan

#IKN_RampasHakRakyat
#PinokioRajaKlenik",negative,"Bisaan

#IKN_Rampas Hak Rakyat
#Pinokio Raja Klenik"
KPK Terus Bergerak Bongkar Sindikat Bagi-bagi Lahan di IKN Nusantara. Terus kalau sudah terbongkar kalian mau apa? Berani? Kalau ternyata para pelakunya pihak2 yg bisa menendang kalian? Harun Masiku yg orang biasa saja situ gak mampu aplg para Boss IKN yg duitnya tak berseri?,negative,KPK Terus Bergerak Bongkar Sindikat Bagi-bagi Lahan di IKN Nusantara. Terus kalau sudah terbongkar kalian mau apa? Berani? Kalau ternyata para pelakunya pihak2 yg bisa menendang kalian? Harun Masiku yg orang biasa saja situ gak mampu aplg para Boss IKN yg duitnya tak berseri?
"Weitz kata sapah susu langsg glek, tetep bae bang kudu diperess dulu ahh

#IKN_RampasHakRakyat
#PinokioRajaKlenik",negative,"Weitz kata sapah susu langsg glek, tetep bae bang kudu diperess dulu ahh

#IKN_Rampas Hak Rakyat
#Pinokio Raja Klenik"
"Setelah jokowi camping di IKN apakah bahan pokok turun harga dan mudah di jangkau rakyat.... ? 

#PeoplePowerMakzulkanJokowi
#PeoplePowerMakzulkanJokowi",negative,"Setelah jokowi camping di IKN apakah bahan pokok turun harga dan mudah di jangkau rakyat.... ? 

#People Power Makzulkan Jokowi
#People Power Makzulkan Jokowi"
"Betul, Baiknya Hukum Rimba.

#IKN_RampasHakRakyat
#PinokioRajaKlenik",negative,"Betul, Baiknya Hukum Rimba.

#IKN_Rampas Hak Rakyat
#Pinokio Raja Klenik"
"Abis berkemah di ikn, makan eek",negative,"Abis berkemah di ikn, makan eek"
Ngibul aja                                              #IKN_RampasHakRakyat,negative,Ngibul aja                                              #IKN_Rampas Hak Rakyat
"China mah ga ngitung rugi y ,Chino mah ngitung untung y buat bisa nguasa wilayah IKN biar tambah luas kekuasaan y di negriku tercinta..",negative,"China mah ga ngitung rugi y ,Chino mah ngitung untung y buat bisa nguasa wilayah IKN biar tambah luas kekuasaan y di negriku tercinta.."
"#IKN_RampasHakRakyat
#PinokioRajaKlenik

Dikira Kabut Kali Yah, Saat Tengah Malam. Padahal Mah Kan Ada Sesuatu Yang Menganukan. Horee! Katepu, Nih Yeh.",negative,"#IKN_Rampas Hak Rakyat
#Pinokio Raja Klenik

Dikira Kabut Kali Yah, Saat Tengah Malam. Padahal Mah Kan Ada Sesuatu Yang Menganukan. Horee! Katepu, Nih Yeh."
"@jokowi
 lagi pamerin Jakarta?  Mau pamerin IKN gagal kemaren",negative,"@jokowi
 lagi pamerin Jakarta?  Mau pamerin IKN gagal kemaren"
"#IKN_RampasHakRakyat
#PinokioRajaKlenik

Karena Ada Tagar Diatas, Kuntilanak Yang Biasa Tertawa Ngadak Ngadak Ikut Menangis Juga.",negative,"#IKN_Rampas Hak Rakyat
#Pinokio Raja Klenik

Karena Ada Tagar Diatas, Kuntilanak Yang Biasa Tertawa Ngadak Ngadak Ikut Menangis Juga."
"Gak usah urusin IKN, jabar aja dulu benahin.",negative,"Gak usah urusin IKN, jabar aja dulu benahin."
"proyek IKN seperti Orang Buta Baru Melihat Indahnja Dunia.
..
Lalu Ingin Dikenang,,, Kayak Masa kecil Kurang Bahagia.
.
Jika Negara Dlm Keadaan Ekonomi Kuat,,,ya Boleh2 saja.
.itupun Harus cermat melangkah.
Bisa2 Jadi Castle Tak Berpenghuni.",negative,"proyek IKN seperti Orang Buta Baru Melihat Indahnja Dunia.
..
Lalu Ingin Dikenang,,, Kayak Masa kecil Kurang Bahagia.
.
Jika Negara Dlm Keadaan Ekonomi Kuat,,,ya Boleh2 saja.
.itupun Harus cermat melangkah.
Bisa2 Jadi Castle Tak Berpenghuni."
"Terus kenapa loh maksain bangun IKN kl ndak ada dana, pake tuh otak.",negative,"Terus kenapa loh maksain bangun IKN kl ndak ada dana, pake tuh otak."
"Cepat atau lambat semua takkan terelakkan.
#IKN_RampasHakRakyat",negative,"Cepat atau lambat semua takkan terelakkan.
#IKN_Rampas Hak Rakyat"
"Adakah yg menyaksikan keberhasilan ESEMKA dan  TOL LAUT?

Kira2 bgmn nasib IKN?",negative,"Adakah yg menyaksikan keberhasilan ESEMKA dan  TOL LAUT?

Kira2 bgmn nasib IKN?"
"Bagi saya gak qda Filosofi apapun, walaupun mewujudkan IKN juga sangat sulit kl hy PNS aja yang pindah, gak sampai 1 jt orang, yg jadi soal warga sipil sediakah pindah ke IKN?",negative,"Bagi saya gak qda Filosofi apapun, walaupun mewujudkan IKN juga sangat sulit kl hy PNS aja yang pindah, gak sampai 1 jt orang, yg jadi soal warga sipil sediakah pindah ke IKN?"
IKN belum jadi Balikpapan kebanjiran..bagaimana kalau sudah jadi Balikpapan dan Samarinda tenggelam,negative,IKN belum jadi Balikpapan kebanjiran..bagaimana kalau sudah jadi Balikpapan dan Samarinda tenggelam
"Tarik mang 
#IKN_RampasHakRalyat",negative,"Tarik mang 
#IKN_Rampas Hak Ralyat"
"IKN lanjut yah, Ambil duit dari mana yah? SOFTBANK aja mundur. Maksa amat. Demi ambisi, RAKYAT dibiarkan tercekik. Gua yakin uang proteknya mau dimainkan lagi wkwkwkkw.",negative,"IKN lanjut yah, Ambil duit dari mana yah? SOFTBANK aja mundur. Maksa amat. Demi ambisi, RAKYAT dibiarkan tercekik. Gua yakin uang proteknya mau dimainkan lagi wkwkwkkw."
Kita semua senang koq bakalan punya ibukota negara yg baru tapi tak perlu juga semua harus dikerjakan serba terburu buru dan jangan sampai #IKN_RampasHakRakyat,negative,Kita semua senang koq bakalan punya ibukota negara yg baru tapi tak perlu juga semua harus dikerjakan serba terburu buru dan jangan sampai #IKN_Rampas Hak Rakyat
Kan yg punya dah dijadiin kepala ikn pa sinarmas kan pa ya ga ya ga ya ga pa? Hehehehe,negative,Kan yg punya dah dijadiin kepala ikn pa sinarmas kan pa ya ga ya ga ya ga pa? Hehehehe
"Klo gk bisa menstabilkan harga minyak goreng, tunda pembangunan IKN",negative,"Klo gk bisa menstabilkan harga minyak goreng, tunda pembangunan IKN"
"Ya klo masalahnya sayang duit, ngapain buru2 bikin IKN,",negative,"Ya klo masalahnya sayang duit, ngapain buru2 bikin IKN,"
"Atahan 
Rebusan 
Kulub weeh 
Bapak mimpin sampai IKN beres juga hayuuuk lah 
Kagok edan kita",negative,"Atahan 
Rebusan 
Kulub weeh 
Bapak mimpin sampai IKN beres juga hayuuuk lah 
Kagok edan kita"
nanti ikn juga raib di temggelamkan,negative,nanti ikn juga raib di temggelamkan
"Banyak makan duren kali di IKN 
#PeoplePowerMakzulkanJokowi
#PeoplePowerMakzulkanJokowi",negative,"Banyak makan duren kali di IKN 
#People Power Makzulkan Jokowi
#People Power Makzulkan Jokowi"
"syarat tidak masuk akal, sejak awal. tapi sudah ditunjuk jadi komite pengarah pembangunan IKN. berarti sejak awal, syarat yg tidak masuk akal itu disetujui?",negative,"syarat tidak masuk akal, sejak awal. tapi sudah ditunjuk jadi komite pengarah pembangunan IKN. berarti sejak awal, syarat yg tidak masuk akal itu disetujui?"
"Ngga di urus..kasian...
Abis IKN hari ini mamdalika",negative,"Ngga di urus..kasian...
Abis IKN hari ini mamdalika"
