text,label
"Majulah !, jayalah Rakyat NKRI Untuk membela yg benar, Tuhan memberkati apa yg di cita² kan negara Republik Indonesia ,inilah arti kemerdekaan dan terciptalah Ibu kota Nusantara(IKN) mari kita dukung merdeka³...!",positive
Keren nih IKN Nusantara,positive
Mantap nih IKN Nusantara,positive
"ini sepulang dr IKN ya ?
luar biasa 

cinta,
niat
&
ikhtiar baik
utk negeri 

semoga mjd booster kekuatan utk pak Presiden & Tim hebatnya 
Barakallah....
@pramonoanung
 @erickthohir
 @Suharso_M
 @KemenPU
 @bsantono
 @bahlillahadalia
 @kemenkomarves
 @Kiyai_MarufAmin
 @KSPgoid",positive
"Kementerian ATR/BPN sangat mendukung pembangunan IKN khususnya dalam aspek penyusunan Rencana Tata Ruang dan memastikan kondisi tanah dalam keadaan clear and clean, sehingga pembangunan IKN senantiasa berjalan dengan lancar.",positive
"Udah pak 
@jokowi
 seumur hidup aja saya dukung jadi presiden.. Ampe beneran nih IKN sempurna dalam hal pembangunan",positive
Presiden yang hebat dan disukai oleh rakyatnya. Semoga sehat selalu ya pak. Dan IKN Nusantara segera terwujud.,positive
Yukk dukung IKN Nusantara,positive
"Mantap, untuk kerja,kerja dan kerja di titik nol IKN semoga tetap sehat Pak Presiden Joko Widodo dan Romo.",positive
Saya setuju IKN di bangun..,positive
makanya 2024 pilih yg mau lanjutin IKN,positive
Semoga pembangunan IKN berjalan lancar tanpa halangan,positive
"Semangat pak.
Sy sangat penasaran dgn IKN.
IKN akan menjadi kota idaman dan kebanggaan kita masyarakat Indonesia.
Oh ya pak. Jgn lupakan Jakarta. Semoga Jakarta tetap bs eksis sbg kota yg bersejarah dan memberi pendapatan ekonomi yg bsr bg negara kita.",positive
"ritual ikn syiriknya dmn to mas? 
masy madani itu tdk asal2 an mengkategorikan syirik?",positive
Luar Biasa Pemimpin yang sangat sederhana dan merakyat.......Semoga berkenan beliau berkantor dalam kemah di IKN seterusnya...agar lebih dekat dengan alam dan Rakyat. Lanjutkan seumur hidup....,positive
bangsa pemberani...termasuk pak jokowi skrg dgn visi nya yg besar untuk kemajuan bangsa...IKN,positive
Kemping yang di IKN bukan? Seru kayanya,positive
Pindah ah ke IKN,positive
Smg Allah swt memberikan jawaban Nya ttg ikn....Aamiiinn,positive
Mayoritas kepalamu?!! Sy termasuk yg mendukung IKN. Jakarta sudah tidak layak jadi ibukota!!,positive
Semoga lancar dan sukses ya Pak pembangunan IKN..,positive
Betul.. siapapun pemimpin indonesia selanjutnya wajib melanjutkan pembangunan ikn ini.,positive
"#IKNNusantara sdh jadi sejarah dan pondasi. Setidaknya Pemerintah berani mengambil langkah ini menuju Indonesia Maju. Jangan lihat kegiatan berkemahnya pak Didu. IKN Nusantara itu rumah Keberagaman, Persatuan dan Kesatuan Bangsa, Tanah dan Air Indonesia. Itu pesan utamanya.",positive
wah ....terpilih nih gub sulteng utk jd pemimpin di ikn !,positive
"Assalamualaikum pak presiden, semoga sehat selalu, optimis IKN tercapai sesuai harapan,amin yarabbal alamin",positive
Koq dinilai mistis ya? Mnrt gw itu sebuah simbol yg menyatakan bhw di IKN itulah kekuatan bumi pertiwi dari semua daerah nanti akan disatukan disana. Bagus lah konsep nya,positive
"ini awal yang bagus insya Allah, mendekatkan diri ke alam sama tuhan. IKN didirikan bukan dengan flexing, emosi atau marah2... perubahan pasti terjadi dan sekarang bisa dimulai.",positive
"enggak masalah, penyeimbang,... 
butuh gelap buat tau cahaya. 
doa terbaik untuk ikn Nusantara...",positive
"Succes IKN , salam sehat",positive
"Ada gempa ko yg disalahin presiden yg lagi di IKN , sabar"" ya pak Jokowi menghadapi mulut"" rakyatmu.",positive
Memang semuanya mesti ada kepentingannya. Itu bpk tau jk IKN ada kepentingannya. Knapa protes. Yg protes itu jk tdk ada kpntingannya. Gga ada kepentingannya ya percuma. IKN kpentingannya utk bangsa n negara.,positive
"Dipahami dengan baik jangan asal komentar, Pak Presiden mengatakan pembangunan IKN akan diawali dengan merehabilitasi hutan hutan yg sdh rusak agar bisa kembali menjadi habitat bagi para hewan yg ada di Kalimantan, ingat ya bukan merusak hutan bro",positive
Jk bapak takut utk pemerintahan berikutnya berarti kita hrs dorong n dukung dong pmrintahan sekarang utk periode brkutnya agr bangsa n negara ini maju n IKN selamat.,positive
Kampung akuarium juga tanah Jakarta..... Semua warga sama2 punya hak membangun IKN,positive
"Agar tanah dan air itu menyatu dengan tanah lokasi IKN harusnya tidak ditampung dlm wadah, tapi harusnya dibuatkan lubang dimana akan dibangun istana presiden nanti atau lokasi rencana pembangunan kantor DPR RI",positive
Otorita IKN harus segera membuat kordinasi perencanaan pembangunan infrastruktur ibukota dgn kementerian PUPR pembuatan aturan UU IKN dan pendanaan dari APBN dan swasta harus dibuat dgn kemekeu dan DPR segera agar tidak sebatas seremonial saja,positive
"Do'anya Bah..untuk sya, dan kawan² semuanya, juga untuk NKRI dan IKN NUSANTARA",positive
"sembah nuwun ibukku 
@KhofifahIP
 semoga kejayaan majapahit menular ke IKN Nusantara ..merinding",positive
"Biarkan kritik berlalu,yang penting IKN,nusantara menuju perubahan yang baru.",positive
"Semoga lancar dan sukses pembangunan IKN Nusantara di KALIMANTAN.

Aamiin..yarobalallamin..",positive
"....selamat tidur pkDe diperkemahan IKN "" perlindunganNya menyertai bpk2 sekalian sejarah baru utk negeri NUSANTARA",positive
Bravo IKN . Majulah Indonesiaku.,positive
Mungkin saja Putra mahkota Saudi arabia yg akn jd slh satu investor di IKN.,positive
Soal ikn masih jadi trending topik nih padahal ikn sdh strategis sekali lokasinya sebagai ibukota,positive
"NKRI negara yg berbudaya kearifan lokal sejak zaman kerajaan bukan budaya arab-yaman yg bersifat agamais,radikalisme dgn ilmu tauhid yg asal""asalan,dn semboyan ""BHINEKA TUNGGAL IKA"" sebagai dasar jadi wajar klo IKN baru di budayakan dgn adat istiadat asli indonesia",positive
"IKN kita dukung 100% pak... Tp ini kelangkaan minyak goreng kaya nya udh kronis banget pak, sudah sangat urgent utk ditangani pak... Tolong di prioritaskan, apalagi mau menghadapi bulan suci Ramadhan",positive
"Cieee.... Cieee....
Sehat selalu Pak Dhe.... Bu Dhe... jg semua yg camping di IKN malam ini...
Gusti Berkahi",positive
Ikn e tlng d lanjutkan di 2024 ya pak,positive
"Semoga kita diberi umur panjang....
Pengen tau kelanjutan IKN nantinya",positive
"Ritual di lokasi IKN memakai media unsur alam, yaitu tanah dan air.
Banyak filosofi yg terkandung didalam ritual tsb.

Biasanya ritual itu terkait dgn keyakinan dan kenyamanan yg diharapkan bisa dicapai.

Dan namanya ritual, tentu ada banyak macamnya.",positive
"Penyatuan tanah dan air dari seluruh provinsi di Indonesia menjadi tonggak sejarah bagi bangsa Indonesia dalam rangka mewujudkan cita-cita besar, yakni pembangunan Ibu Kota Nusantara (IKN).",positive
IKN Ini Kerja Nyata,positive
"Untuk masalah pengumpulan kendi air di IKN menurut gw sah-sah aja, apalagi itu merupakan kearifan lokal yang memang harus dilestarikan. Karena emang harus diakui, kita tinggal disini gak cuman manusia aja, ada juga makhluk lain yang percaya gak percaya mereka itu ada.",positive
Moga2 Allah melancarkan semua proses IKN spi terwujud dg baik.,positive
IKN yang baru Nusantara di Kaltim adalah jalan menuju kemakmuran dan kemajuan Bangsa,positive
menarik lho misal ada yg bikin tulisan tentang tradisi ritual pembangunan IKN. Ditinjau dri kebudayaan setempat. Aku pingin tahu tradisi Kalimantan seperti apa,positive
"demi mendukung IKN Nusantara menjadi smart city yang modern.
#DigitalBisa #UntukIndonesiaLebihBaik",positive
"Mantappp.. iri liat malaysia.. punya Putra Jaya, smoga IKN bisa lebih keren dari putra jaya.. gaskeuunn",positive
"Sy asli Jateng, dan sekarang tinggal di Jabar, setuju sekali IKN di Kaltim dan sy merasa Bangga dan kebanggaan bagi Rakyat Indonesia. Presidenku Jokowi, kinerja dan Jerih payahmu yg tanpa lelah dan membuat pemerataan diseluruh Negri
Ini akan dikenang anak cucu kita.",positive
"Ya kan itu hanya simbul menyatakan sikap bahwa NKRI ini dalam satu kesatuan cinta tanah dan air,kalau lebih jelas nya jika Kisanak bingung tanya sama gubernur kisanak kemaren Bawak tanah dan air ga ke titik nol IKN ?",positive
"Mari kita berdoa, semoga pembangunan IKN, sukses aman dan tepat waktu sesuai Program Pemerintah. Mari kita dukung..",positive
Insyaa Allah presiden Jokowi berserta rombongannya yg sedang berkemah di titik 0 IKN akan selalu dlm lindungan para malaikat dan makhluk2 yg baik dari segala penjuru negeri. Jokowi adalah pemimpin yg amanah dan terbaik yg pernah ada di negeri ini.,positive
Usul aja sih yg bawa tanah 1 pulau di ambil 1kg tanah dan 1ltr air klo sudah di satukan di IKN trus di kasih nama tanah Nusantara,positive
Jadi pengen ke IKN.,positive
Kebhinekaan yang harus selalu di pertahankan.Maju terus pembangunan IKN.,positive
Sehat selalu Bapak Presiden....Semoga IKN CEPET SELESAI AMIIN...INDONESIA NUSANTARA.,positive
"Sabda Palon, telah menagih janji, IKN bukti awal janji di tepati..",positive
Kalau gue mending di IKN jangan ad lagi kata2 air dari atas jangan buat kelaut harus ketanah buat peresapan biar jalan2 dijkrt rusak semu,positive
"Asik juga, semoga pembangunan IKN sukses.",positive
Semoga pembangunan IKN Nusantara di tangan pa Jokowi dimudahkan oleh Allah SWT.  Aamiin..,positive
"Mengawali sambutannya, Presiden RI menyatakan bahwa kegiatan yang dilaksanakan hari ini merupakan awal dari sebuah proses besar, yaitu pembangunan ibukota Nusantara.”   #GubernurDIY #SriSultanHBX #IKN #Nusantara #Jokowi #PresidenRI #JogjaIstimewa",positive
"Mantap kerja, kerja dan kerja dari titik nol IKN Pak Presiden Joko Widodo dan tetap sehat.",positive
"Menurut kami pasti sirik,…..krn pd kepemimpinan parte demokrat selama 10 thn gak mampu utk bisa berbuat dlm merencanakan IKN ini bisa tercapai",positive
"Jokowi akan catat sejarah baru di Indonesia,

Pertama , Sirkuit Mandalika balap MotoGP

Kedua , membangun IKN baru di Kal - Tim. Ini tentu menjadi catatan bagi bangsa Indonesia ini dan lebih spesial untuk Kelurganya.",positive
"Selamat ngecamp Pak 
@jokowi
 

smg pembangunan IKN dilancarkan dan selamat",positive
Mulai berpikir untuk pindah ke IKN.,positive
"Smg pembangunan IKN Nusantara ke depan dpt berjalan lancar dan jg kolaborasi antara pemerintah pusat, Daerah, TNI, Polri, swasta, dan seluruh masyarakat dlm mendukung pembangunan ibu kota ngr ini sehingga dpt membantu sgr terwujudnya Cita2 Pembangunan IKN,ucap presiden",positive
"Sebenarnya IKN itu klo konsepnya alam indah jalan d tengah hutan"" kliatan asri,konsepnya modern nature klo bisa ya tata kotanya dl benahin dr resapan air klo bisa yg gede hingga bus bisa masuk kek d LN agar meminimalisir banjir dan penampungan air limbah jg.",positive
Semoga dengan penyatuan tanah & air akan menyatukan IKN Aamiin Ya Allah,positive
"..SEHAT SLLU PK 
@jokowi
 semoga semuanya DI IKN dalam perlindungan TUHAN YANG MAHA KUASA...INDONESIA BANGGA ..IKN SEGERA TERWUJUD",positive
"Aamiin, ikut mendoakan agar IKN menjadi lambang persatuan Indonesia, pemerataan pembangunan dan tentu saja selangkah mendekatkan diri kepada cita2 bangsa Adil Makmur",positive
Semoga pembangunan IKN berjalan lancar..,positive
Menurut ane sih wajar saja itu kan cuma simbolik untuk sejarah bahwa asal mula ikn dibentuk ada unsur tanah dan air dari seluruh wilayah Indonesia sebagai makna dari bhinneka tunggal Ika,positive
Do'akan pembangunan IKN berjalan lancar,positive
"Semangat yg sangat baik dalam mendukung pembangunan IKN.
Kang Emil BersamaJuara",positive
"aamiin, alhamdulillah, semoga Indonesia dgn IKN Nusantara nya lebih maju dan modern serta Rakyat nya sejahtera",positive
"Kang Emil mendukung penuh pembangunan IKN.
BersamaJuara",positive
"Presiden Jokowi menginginkan dengan dibangunnya Nusantara, Indonesia memiliki kota dengan standar internasional yang memiliki fasilitas-fasilitas berstandar internasional pula. #GubernurDIY #SriSultanHBX #IKN #Nusantara #Jokowi #PresidenRI #JogjaIstimewa",positive
"Tenang bro Anies Baswedan berniat mengkritisi mengapa tanah dan air dari kampung aquarium ? Yakni harapan gubernur DKI Jakarta proyek IKN Nusantara jangan memarginalkan rakyat kecil, praktek marginal sudah terjadi yakni kapling tanah IKN yang di monopoli Orang berduit",positive
"Ndek IKN tah iki? 

Sukses ... Suksess..sukksseess IKN 

Sing kakean cangkem ttg IKN 
Awas kl nyari kerja ke sono yaa",positive
"Jokowi menyampaikan, prosesi penyatuan tanah dan air ini merupakan bagian dari cita-cita dan pekerjaan besar Indonesia yang akan segera dimulai, yakni pembangunan ibu kota Nusantara. #Jokowi #IKN #Nusantara
@Jokowi
 

𝗝𝗼𝗸𝗼𝘄𝗶 𝗚𝗮𝘀 𝗣𝗼𝗹 𝗜𝗻𝗳𝗿𝗮𝘀𝘁𝗿𝘂𝗸𝘁𝘂𝗿",positive
"Semoga dlm pembangunan IKN lancar jaya 

BersamaJuara bersama Kang Emil",positive
Untuk orang tua sepuh hadir di pertemuan bersejarah di siang hari yang terik tanpa pelindung kepala yang memadai adalah perjuangan spesial. Insya Allah beliau berkontribusi banyak terhadap pembangunan IKN.,positive
Ngumpulin air & tanah dr seluruh Indonesia di IKN tuh ide keren loh. Simbolisasi penyatuan yang bagus krn bener2 semua daerah ada representasinya.,positive
"Ridwan Kamil hanya menghargai sebuah adat istiadat dari jabar, tentu dengan diiringi doa yg baik untuk kelncaran pembangunan IKN baru. 

BersamaJuara",positive
"Sebetulnya yang darurat itu menjaga keberlangsungan IKN!
Jadi perlu dijaga kedaruratannya dengan menunda pemilu sehingga aman IKN!
Karena kalau rezim berganti bisa jadi IKN terhambat!",positive
"Ya udah, pembangunan IKN salah satunya. Soalnya masyarakat jawa minta subsidi mulu, minta bantuan mulu. Udah dikasih malah banyak maunya, sekali pemerintah perhatiin daerah lain difitnah.",positive
Berharap dalam waktu ga ampe 3 tahun uda terwujud IKN new citynya Indonesia moga uda ijin Hamengkubowono ke X yg punya lisensi Titik Nol Yogyakarta,positive
Penyatuan tanah dan air dari seluruh negeri di IKN Nusantara adalah satu hal yang baik dan patut diapresiasi.. Saya bahkan berharap tanah dan air itu tidak hanya disimpan tapi dijadikan pondasi berdirinya Istana.,positive
"Klo org jawa mo pndah tmpat itu bawa bekel tanah dr kmpung halaman untuk di bawa merantau..biar krasan/betah d tmpat baru...
Biar IKN jadi rumah untuk semua.

Bagi yg bid'ah2 kan ya silakan ..malah untung IKN g di injakkan kaki oleh orang yg suka bidah dan haram2 kan..jadi aman.",positive
"Kalo anda 
@NovalAssegaf
 cuma MENCELA pekerjaan2 orang lain, spti kebiasaan Jahiliyyah kalian, saya jelaskan: Tanah & Air dalam Kendi Nusantara sbg simbol landasan IKN Baru yang akan dibangun di Kaltim.Semua provinsi di Indonesia merepresentasikan kearifan lokal meliputi Nusantara",positive
Mat siangsemoga IKN  SUKSES NKRI BERJAYA,positive
Lha itu Makanya IKN pindah ke daerah bukan Di kota metropolitan.,positive
Positive thinking aja mungkin di IKN belum ada air buat kebutuhan kemah.,positive
"Beda atuh Bu, klo Hambalang mah macet nya karena korupsi kan? Dulu ktika cb mau dlanjutken kata p SBY:’tdk mudah dlanjutkan,krna ksus hkm-nya blm kelar’
Klo IKN,program pjg yg jd kputusan negara, jk tak selesai semasa pak Jokowi, hrs dslesaikan oleh pnggantinya.Dan tak brkorupsi.",positive
"Gub SulSel bagus bawa tanah yang dijanjikan, tanah sakral, tanah keramat Mattoangin ke IKN",positive
Semoga pembangunannya lancar sampe selesai aaamiiin,positive
"Presiden tidak hanya sendirian, tetapi berkemah bersama Bambang Susantono sebagai kepala otorita IKN yang baru, beserta gubernur dari seluruh provinsi di Indonesia. #Jokowi #IKN #Nusantara #KotaDuniauntukSemua
@Jokowi
 

𝗝𝗼𝗸𝗼𝘄𝗶 𝗚𝗮𝘀 𝗣𝗼𝗹 𝗜𝗻𝗳𝗿𝗮𝘀𝘁𝗿𝘂𝗸𝘁𝘂𝗿",positive
"Setiap gubernur ditugaskan untuk membawa tanah dan air dari provinsinya masing² ke Kalimantan.
Apakah ini adalah simbol untuk penyatuan seluruh propinsi dgn tanah yg ada di Kalimantan,agar membawa keberkahan untuk IKN ?",positive
Semoga selamat sampai tujuan.... IKN semoga manfaat dan berkah untuk Indonesia dan seluruh generasi Bangsa Indonesia,positive
"Jokowi, udah perintahkan ke menterinya, sekarang sedang disibukkan dengan pembangunan IKN, kan thu ada wapres nya. Gak nongol juga beliaunya?

2. Sholat 2 rakaat aja pak, sebagai sesama muslim hanya menyingatkan. Ini nie.. Memangnya gak sadar apa ya?",positive
"TTDJ ya pak ,,, selamat sampai tujuan  dan renungkanlah IKN jadi kota yg MAKMUR",positive
Yang jelas di depan hidungmu klenat klenit kamu gak ribut. Ini urusan simbolis tanah dan air Indonesia. Simbol persatuan negri ini di IKN lu Ribut. Dimana logikamu. Sebelum hancur negeri ini kau memang tidak pernah berhenti. Berjuanglah nak. Walau akhirnya kau sia-sia.,positive
"Saya bahagia sih, pengin segera pindah IKN",positive
"kemah di ikn sangat penting untuk meyakinkan investor, dunia inter dan  politik dalam negeri bahwa pembangunan ikn sangat serius...dan didukung oleh seluruh gubernur...maka mhn investor jgn lari...ayo visit indonesia to invest...heheh...jgn pandang kemahnya tapi efeknya...hmm",positive
Hujanlah selebat mungkin agar tanah IKN subur.,positive
Amiin...semoga IKN Nusantara membawa maslahat untuk segenap warga Indonesia.,positive
"Membantu seeh saya sangat apresiasi sekali, tapi tolong FD di DPR tolong di dorong untuk kritis untuk hal2 yang berkaitan dengan emosi rakyat (migor, pupuk, IKN, jalan rusak, Logo Halal, moge Harley, dsb)",positive
Dimulai dari sini kayaknya agar fokus pemerintah kpd rakyat dulu terutama maslh kebutuhan pokok yg tata kelolanya sangat buruk hingga kelangkaan terjadi dimana². Kemaslahatan rakyat kebih penting ketimbang IKN.,positive
Kawasan IKN keren.,positive
"Sukses IKN
#GloryNKR",positive
"Alhamdulillah kalau mundur softbank, sebagai rakyat Indonesia saya mau nya tidak sepeser duit membangun ikn itu dari duit negara lain. Jadi di kemudian hari kita punya harga diri, kalau membangun dengan duit sendiri.",positive
"Sobat, jika perintah Presiden 
@jokowi
 ke Gubernur itu datang ke IKN bawa berbagai jenis tumbuhan yg khas setiap daerah, untuk ditanam di IKN, masih masuk akal, seirama dengan Presidensi G-20 soal Climate Change. Bung Karno pernah sumbang pohon untuk ditanam di gurun pasir Saudi.",positive
Iya Pak kita setuju agar IKN bisa berjalan,positive
"iyaa gk ada abisnya goncangan dunia ini
. healing di IKN sabi ni join kemah sambil bakar jagung.",positive
"Semoga lancar, dan dimulai pembangunannya, IKN mahakarya anak bangsa asli Indonesia..... Nusantata",positive
"Alasan penggunaan buluh sebagai tempat penyimpanan air yang dibawa ke IKN tersebut adalah, selain buluh banyak tumbuh di daerah aliran sungai, dalam tradisi masyarakat Riau saat mengambil air enau juga menggunakan buluh sebagai alat untuk penampungnya.",positive
"Setuju banget dah, biar pun gelar nya abal2, tapi tweet nya mantab…

Saya sebagai Putra daerah kalimantan juga tdk merasa klo IKN adalah hanya milik org Kalimanatan, tapi IKN adalah milik seluruh rakyat Indonesia.",positive
"Sukses IKN 
#GloryNKRI",positive
"Semngat y Pakde, Sukses IKN dan lancar. Semoga Pak Jokowi dan keluarga sehat selalu.",positive
"Jadi, harusnya nanti setiap provinsi punya IKN, biar maju semua....",positive
"Yang gagal itu mata hatinya,jelas2 karna pak jokowi kaltim samarinda baru bisa ada jalan toĺ,dan terpilih sebagai IKN.",positive
"Iri bilang bos. Mudahan semua rencana untuk IKN cepat terealisasi. Hidup Indonesi. Bravo 
@jokowi",positive
Cerdasnya pakdhe... Saya yakin kegiatan ini dibuat spy semua bisa gercep kerja utk IKN Nusantara dan menunjukkan kensemua bahwa kepindahan IKN ini sudah paripurna,positive
"Tanah &air dibawa para Gubernur dari wilayahnya masing2 utk dimasukkan ke dlm kendi titik awal pembangunan IKN,mungkin jadi simbol NUSANTARA sbg kesatuan ibu pertiwi.Pakaian daerah Gubernur sbg simbol keberagaman budaya.Smg NUSANTARA benar2 akan mewujudkan ""bhinneka tunggal ika"".",positive
"Bekemah di IKN, bukti keseriusan pak Jokowi dalam mengemban tugas.",positive
"Mantap 
Desa saya dkt dgn IKN",positive
"Makanya kalau IKN dipindah dari Jawa, didukung, ya",positive
"Semoga proses pembangunan IKN berjalan aman dan lancar

Sukses selalu Brimob",positive
"Selamat bertugas...
Semoga proses pembangunan IKN berjalan aman dan lancar",positive
"Semoga Beliau Berkenan Berkantor selamanya di IKN dg Gubernurnya juga, itulah cermin Kesederhanaan Bapak Jokowi yang patut kita tiru berkenan berkemah dg peralatan terbatas. Saya yakin ini bukan pencitraan untk foto doank. Beliau memang orang yg Jujur, Sederhana dan Merakyat.",positive
semoga membawa IKN semakin berkembang,positive
Brimob memiliki andil dalam pengamanan pembangunan IKN Nusantara,positive
"Ketua DPD RI, AA LaNyalla Mahmud Mattalitti, meminta Kepala Otorita Ibu Kota Negara untuk mewaspadai serta menghindari praktik bagi-bagi kavling di Ibu Kota Negara baru. #LaNyalla #KataLaNyalla #dpdri #JokowiHarusDiturunkan #IKN",positive
Langkah tepat diproyek IKN !!!!,positive
Mohon dukung proyek IKN terwujud. Saya akan sangat malu & geram bila proyek IKN itu mangkrak. Geram diketawain nitizen anti IKN,positive
"Pengamanan pembangunan IKN, Brimob sangat diharapkan dapat mengawal dan melaksanakan pengamanan baik di lokasi IKN maupun di sepanjang jalur logis.
@Suharso_M
@Jiwamudaindo",positive
"Alkhamdulillah 

Fokus IKN kenapa harus ngotot tunda pemilu

Boleh bangun IKN Tapi PEMILU tetap harus terlaksana",positive
"..pra-syarat / enabler keberlangsungan & keberlanjutan pembangunan nasional & kegiatan masyarakat untuk mewujudkan tujuan berbangsa & bernegara.
- Pemindahan & Pembangunan IKN yang menjadi kebijakan negara dan sudah ditetapkan menjadi UU No. 3 Tahun ...
@Suharso_M
@Jiwamudaindo",positive
"Semua akan ada jalan pada waktunya 
Yang penting yakin IKN sukses",positive
Belum puas...pengen ngerasain IKN,positive
"IKN nusantara bukan urusan mu, tapi urusan orang orang hebat di kabinet jokowi. Kau dan kaum mu duduk manis jangan recok",positive
