Unnamed: 0,text_tweet,pisah_hashtag&kata,text_cleaning,text_normalisasi,tweet_tokens,polarity_score,polarity,positive_words,negative_words
790,@tubirfess Gue sekolah negeri gada tuh suruh hapalan surat2 pendek hapalin perkalian sama ibu kota negara nah baru iya bener ,@tubirfess Gue sekolah negeri gada tuh suruh hapalan surat2 pendek hapalin perkalian sama ibu kota negara nah baru iya bener ,gue sekolah negeri gada tuh suruh hapalan surat pendek hapalin perkalian sama ibu kota negara nah baru iya bener,saya sekolah negeri gada tuh suruh hapalan surat pendek hapalin perkalian sama ibu kota negara nah baru iya benar,"['saya', 'sekolah', 'negeri', 'gada', 'tuh', 'suruh', 'hapalan', 'surat', 'pendek', 'hapalin', 'perkalian', 'sama', 'ibu', 'kota', 'negara', 'nah', 'baru', 'iya', 'benar']",-3,negative,"[('sekolah', 3), ('pendek', 1), ('sama', 3), ('benar', 2)]","[('saya', -3), ('suruh', -2), ('pendek', -2), ('kota', -1), ('benar', -4)]"
371,@KoalisiNetizen Masyarakat Papua Antusias Menyambut Pemindahan Ibu Kota Nusantara #IbuKotaNegara,@KoalisiNetizen Masyarakat Papua Antusias Menyambut Pemindahan Ibu Kota Nusantara #Ibu Kota Negara,masyarakat papua antusias menyambut pemindahan ibu kota nusantara ibu kota negara,masyarakat papua antusias menyambut pemindahan ibu kota nusantara ibu kota negara,"['masyarakat', 'papua', 'antusias', 'menyambut', 'pemindahan', 'ibu', 'kota', 'nusantara', 'ibu', 'kota', 'negara']",-3,negative,"[('antusias', 2)]","[('antusias', -3), ('kota', -1), ('kota', -1)]"
834,Kunjungan ibu negara ke kosan di kota penugasan. Agenda yg diusung beliau adalah; 1. Membantu packing barang &amp; pakaian yang harus dibawa selama cuti lebaran; 2. Memberikan nasihat &amp; dukungan finansial selama cuti lebaran; dan 3. Persatuan Indonesia 🇮🇩 #berpuasasekelurahan ‍️ https://t.co/H3ANTF2DGT,Kunjungan ibu negara ke kosan di kota penugasan. Agenda yg diusung beliau adalah; 1. Membantu packing barang &amp; pakaian yang harus dibawa selama cuti lebaran; 2. Memberikan nasihat &amp; dukungan finansial selama cuti lebaran; dan 3. Persatuan Indonesia 🇮🇩 #berpuasasekelurahan ‍️ https://t.co/H3ANTF2DGT,kunjungan ibu negara ke kosan di kota penugasan agenda yg diusung beliau adalah  membantu packing barang amp pakaian yang harus dibawa selama cuti lebaran  memberikan nasihat amp dukungan finansial selama cuti lebaran dan  persatuan indonesia berpuasasekelurahan,kunjungan ibu negara ke kosan di kota penugasan agenda yang diusung beliau adalah  membantu packing barang amp pakaian yang harus dibawa selama cuti lebaran  memberikan nasihat amp dukungan finansial selama cuti lebaran dan  persatuan indonesia berpuasasekelurahan,"['kunjungan', 'ibu', 'negara', 'ke', 'kosan', 'di', 'kota', 'penugasan', 'agenda', 'yang', 'diusung', 'beliau', 'adalah', 'membantu', 'packing', 'barang', 'amp', 'pakaian', 'yang', 'harus', 'dibawa', 'selama', 'cuti', 'lebaran', 'memberikan', 'nasihat', 'amp', 'dukungan', 'finansial', 'selama', 'cuti', 'lebaran', 'dan', 'persatuan', 'indonesia', 'berpuasasekelurahan']",-13,negative,"[('membantu', 4), ('cuti', 3), ('dukungan', 4), ('cuti', 3)]","[('kota', -1), ('yang', -5), ('membantu', -4), ('yang', -5), ('harus', -5), ('cuti', -2), ('nasihat', -3), ('cuti', -2)]"
456,Pemindahan aparatur sipil negara ke Ibu Kota Nusantara di Kalimantan Timur dinilai terlalu tergesa-gesa. https://t.co/pWeLNspK8C #VideoBerita #AdadiKompas,Pemindahan aparatur sipil negara ke Ibu Kota Nusantara di Kalimantan Timur dinilai terlalu tergesa-gesa. https://t.co/pWeLNspK8C #Video Berita #Adadi Kompas,pemindahan aparatur sipil negara ke ibu kota nusantara di kalimantan timur dinilai terlalu tergesa-gesa video berita adadi kompas,pemindahan aparatur sipil negara ke ibu kota nusantara di kalimantan timur dinilai terlalu tergesa-gesa video berita adadi kompas,"['pemindahan', 'aparatur', 'sipil', 'negara', 'ke', 'ibu', 'kota', 'nusantara', 'di', 'kalimantan', 'timur', 'dinilai', 'terlalu', 'tergesa-gesa', 'video', 'berita', 'adadi', 'kompas']",-11,negative,[],"[('kota', -1), ('terlalu', -3), ('berita', -4), ('kompas', -3)]"
247,Setelah upacara HUT Kemerdekaan RI di Bandara Ibu Kota Nusantara (IKN) Aparatur Sipil Negara (ASN) akan segera berpindah. Langkah ini menandai perjalanan baru dalam memperkuat Indonesia Maju. #iknnusantara #IndonesiaMaju https://t.co/H8bO3YNSSH,Setelah upacara HUT Kemerdekaan RI di Bandara Ibu Kota Nusantara (IKN) Aparatur Sipil Negara (ASN) akan segera berpindah. Langkah ini menandai perjalanan baru dalam memperkuat Indonesia Maju. #iknnusantara #Indonesia Maju https://t.co/H8bO3YNSSH,setelah upacara hut kemerdekaan ri di bandara ibu kota nusantara ikn aparatur sipil negara asn akan segera berpindah langkah ini menandai perjalanan baru dalam memperkuat indonesia maju iknnusantara indonesia maju,setelah upacara hut kemerdekaan republik indonesia di bandara ibu kota nusantara ibu kota negara aparatur sipil negara asn akan segera berpindah langkah ini menandai perjalanan baru dalam memperkuat indonesia maju ibu kota negara nusantara indonesia maju,"['setelah', 'upacara', 'hut', 'kemerdekaan', 'republik', 'indonesia', 'di', 'bandara', 'ibu', 'kota', 'nusantara', 'ibu', 'kota', 'negara', 'aparatur', 'sipil', 'negara', 'asn', 'akan', 'segera', 'berpindah', 'langkah', 'ini', 'menandai', 'perjalanan', 'baru', 'dalam', 'memperkuat', 'indonesia', 'maju', 'ibu', 'kota', 'negara', 'nusantara', 'indonesia', 'maju']",7,positive,"[('segera', 3), ('langkah', 4), ('dalam', 3), ('memperkuat', 3)]","[('kota', -1), ('kota', -1), ('segera', -3), ('kota', -1)]"
958,@godhongcoffee Ibu kota negara bukan hanya impian tetapi harus diwujudkan bersama,@godhongcoffee Ibu kota negara bukan hanya impian tetapi harus diwujudkan bersama,ibu kota negara bukan hanya impian tetapi harus diwujudkan bersama,ibu kota negara bukan hanya impian tetapi harus diwujudkan bersama,"['ibu', 'kota', 'negara', 'bukan', 'hanya', 'impian', 'tetapi', 'harus', 'diwujudkan', 'bersama']",-6,negative,"[('impian', 3), ('bersama', 3)]","[('kota', -1), ('bukan', -3), ('hanya', -3), ('harus', -5)]"
826,Proyek ini bertujuan untuk meningkatkan infrastruktur olahraga dan mendukung perkembangan sepak bola di Indonesia. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/Zq12UJ1snW,Proyek ini bertujuan untuk meningkatkan infrastruktur olahraga dan mendukung perkembangan sepak bola di Indonesia. #Ibu Kota Negara #IKNNusantara #Pindah Ibu Kota https://t.co/Zq12UJ1snW,proyek ini bertujuan untuk meningkatkan infrastruktur olahraga dan mendukung perkembangan sepak bola di indonesia ibu kota negara iknnusantara pindah ibu kota,proyek ini bertujuan untuk meningkatkan infrastruktur olahraga dan mendukung perkembangan sepak bola di indonesia ibu kota negara ibu kota negara nusantara pindah ibu kota,"['proyek', 'ini', 'bertujuan', 'untuk', 'meningkatkan', 'infrastruktur', 'olahraga', 'dan', 'mendukung', 'perkembangan', 'sepak', 'bola', 'di', 'indonesia', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'nusantara', 'pindah', 'ibu', 'kota']",-10,negative,"[('perkembangan', 2), ('pindah', 1)]","[('perkembangan', -4), ('sepak', -3), ('kota', -1), ('kota', -1), ('pindah', -3), ('kota', -1)]"
977,Kementerian PUPR memanfaatkan teknologi MOBOX dalam membangun hunian di IKN Nusantara #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/r3iZcuPKp6,Kementerian PUPR memanfaatkan teknologi MOBOX dalam membangun hunian di IKN Nusantara #Ibu Kota Negara #IKNNusantara #Pindah Ibu Kota https://t.co/r3iZcuPKp6,kementerian pupr memanfaatkan teknologi mobox dalam membangun hunian di ikn nusantara ibu kota negara iknnusantara pindah ibu kota,kementerian pupr memanfaatkan teknologi mobox dalam membangun hunian di ibu kota negara nusantara ibu kota negara ibu kota negara nusantara pindah ibu kota,"['kementerian', 'pupr', 'memanfaatkan', 'teknologi', 'mobox', 'dalam', 'membangun', 'hunian', 'di', 'ibu', 'kota', 'negara', 'nusantara', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'nusantara', 'pindah', 'ibu', 'kota']",-3,negative,"[('dalam', 3), ('pindah', 1)]","[('kota', -1), ('kota', -1), ('kota', -1), ('pindah', -3), ('kota', -1)]"
298,@stvrIette @skiesgyuu ibu kota negara baru kita,@stvrIette @skiesgyuu ibu kota negara baru kita,ibu kota negara baru kita,ibu kota negara baru kita,"['ibu', 'kota', 'negara', 'baru', 'kita']",-1,negative,[],"[('kota', -1)]"
101,Transformasi Mobilitas: Sistem Transportasi Cerdas Membuka Jalan untuk IKN. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/LmIvLqTAAw,Transformasi Mobilitas: Sistem Transportasi Cerdas Membuka Jalan untuk IKN. #Ibu Kota Negara #IKNNusantara #Pindah Ibu Kota https://t.co/LmIvLqTAAw,transformasi mobilitas sistem transportasi cerdas membuka jalan untuk ikn ibu kota negara iknnusantara pindah ibu kota,transformasi mobilitas sistem transportasi cerdas membuka jalan untuk ibu kota negara ibu kota negara ibu kota negara nusantara pindah ibu kota,"['transformasi', 'mobilitas', 'sistem', 'transportasi', 'cerdas', 'membuka', 'jalan', 'untuk', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'nusantara', 'pindah', 'ibu', 'kota']",-10,negative,"[('pindah', 1)]","[('sistem', -4), ('kota', -1), ('kota', -1), ('kota', -1), ('pindah', -3), ('kota', -1)]"
751,@DokterTifa Setuju Bu termasuk pemindahan ibu kota agar muda nantinya menguasai Indonesia apalagi sekarang para buruh/ pekerja dari cina sementara tingkat pengangguran di negara kita sangat besar ini tentunya tidak sesuai dengan visi misi pak presiden,@DokterTifa Setuju Bu termasuk pemindahan ibu kota agar muda nantinya menguasai Indonesia apalagi sekarang para buruh/ pekerja dari cina sementara tingkat pengangguran di negara kita sangat besar ini tentunya tidak sesuai dengan visi misi pak presiden,setuju bu termasuk pemindahan ibu kota agar muda nantinya menguasai indonesia apalagi sekarang para buruh pekerja dari cina sementara tingkat pengangguran di negara kita sangat besar ini tentunya tidak sesuai dengan visi misi pak presiden,setuju bu termasuk pemindahan ibu kota agar muda nantinya menguasai indonesia apalagi sekarang para buruh pekerja dari cina sementara tingkat pengangguran di negara kita sangat besar ini tentunya tidak sesuai dengan visi misi pak presiden,"['setuju', 'bu', 'termasuk', 'pemindahan', 'ibu', 'kota', 'agar', 'muda', 'nantinya', 'menguasai', 'indonesia', 'apalagi', 'sekarang', 'para', 'buruh', 'pekerja', 'dari', 'cina', 'sementara', 'tingkat', 'pengangguran', 'di', 'negara', 'kita', 'sangat', 'besar', 'ini', 'tentunya', 'tidak', 'sesuai', 'dengan', 'visi', 'misi', 'pak', 'presiden']",-10,negative,"[('setuju', 4), ('para', 2), ('pekerja', 3), ('tingkat', 1), ('sangat', 3), ('besar', 4), ('sesuai', 3), ('visi', 2), ('presiden', 3)]","[('setuju', -3), ('termasuk', -3), ('kota', -1), ('agar', -3), ('muda', -2), ('dari', -3), ('sementara', -4), ('pengangguran', -4), ('sangat', -5), ('besar', -2), ('tidak', -5)]"
604,@reiMurilin12 Semoga dengan pindahnya Ibu Kota Negara ke Kalimantan Indonesia akan semakin maju,@reiMurilin12 Semoga dengan pindahnya Ibu Kota Negara ke Kalimantan Indonesia akan semakin maju,semoga dengan pindahnya ibu kota negara ke kalimantan indonesia akan semakin maju,semoga dengan pindahnya ibu kota negara ke kalimantan indonesia akan semakin maju,"['semoga', 'dengan', 'pindahnya', 'ibu', 'kota', 'negara', 'ke', 'kalimantan', 'indonesia', 'akan', 'semakin', 'maju']",1,positive,"[('semakin', 2)]","[('kota', -1)]"
213,Menggerakkan revolusi urban: Koordinator smart city dorong transformasi digital di IKN Nusantara. #IbuKotaNegara #IKNNusantara #PindahIbuKota kOREA #ASIANCUPU23 #TIMNASU23 SHIN TAE YONG #AFCU23AsianCup2024 BUNG TOWEL WASITNYA WITCHCRAFT https://t.co/DfLqoEF4No,Menggerakkan revolusi urban: Koordinator smart city dorong transformasi digital di IKN Nusantara. #Ibu Kota Negara #IKNNusantara #Pindah Ibu Kota kOREA #ASIANCUPU23 #TIMNASU23 SHIN TAE YONG #AFCU23Asian Cup2024 BUNG TOWEL WASITNYA WITCHCRAFT https://t.co/DfLqoEF4No,menggerakkan revolusi urban koordinator smart city dorong transformasi digital di ikn nusantara ibu kota negara iknnusantara pindah ibu kota korea asiancupu timnasu shin tae yong afcuasian cup bung towel wasitnya witchcraft,menggerakkan revolusi urban koordinator smart kota dorong transformasi digital di ibu kota negara nusantara ibu kota negara ibu kota negara nusantara pindah ibu kota korea asiancupu timnasu shin tae yong afcuasian cup bung towel wasitnya witchcraft,"['menggerakkan', 'revolusi', 'urban', 'koordinator', 'smart', 'kota', 'dorong', 'transformasi', 'digital', 'di', 'ibu', 'kota', 'negara', 'nusantara', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'nusantara', 'pindah', 'ibu', 'kota', 'korea', 'asiancupu', 'timnasu', 'shin', 'tae', 'yong', 'afcuasian', 'cup', 'bung', 'towel', 'wasitnya', 'witchcraft']",-9,negative,"[('koordinator', 2), ('pindah', 1)]","[('kota', -1), ('kota', -1), ('kota', -1), ('kota', -1), ('pindah', -3), ('kota', -1), ('tae', -4)]"
237,@meraaahputiiih Presiden Jokowi yakin bahwa pemindahan Ibu Kota Nusantara akan memperkuat tata kelola pemerintahan yang lebih baik dan efektif di Indonesia. #IbuKotaNegara,@meraaahputiiih Presiden Jokowi yakin bahwa pemindahan Ibu Kota Nusantara akan memperkuat tata kelola pemerintahan yang lebih baik dan efektif di Indonesia. #Ibu Kota Negara,presiden jokowi yakin bahwa pemindahan ibu kota nusantara akan memperkuat tata kelola pemerintahan yang lebih baik dan efektif di indonesia ibu kota negara,presiden jokowi  yakin bahwa pemindahan ibu kota nusantara akan memperkuat tata kelola pemerintahan yang lebih baik dan efektif di indonesia ibu kota negara,"['presiden', 'jokowi', 'yakin', 'bahwa', 'pemindahan', 'ibu', 'kota', 'nusantara', 'akan', 'memperkuat', 'tata', 'kelola', 'pemerintahan', 'yang', 'lebih', 'baik', 'dan', 'efektif', 'di', 'indonesia', 'ibu', 'kota', 'negara']",11,positive,"[('presiden', 3), ('yakin', 3), ('memperkuat', 3), ('tata', 3), ('lebih', 1), ('baik', 3), ('efektif', 5)]","[('kota', -1), ('tata', -2), ('yang', -5), ('baik', -1), ('kota', -1)]"
