Unnamed: 0,text_tweet,pisah_hashtag&kata,text_cleaning,text_normalisasi,tweet_tokens,tweet_tokens_WSW,polarity_score,polarity,positive_words,negative_words
790,@tubirfess Gue sekolah negeri gada tuh suruh hapalan surat2 pendek hapalin perkalian sama ibu kota negara nah baru iya bener ,@tubirfess Gue sekolah negeri gada tuh suruh hapalan surat2 pendek hapalin perkalian sama ibu kota negara nah baru iya bener ,gue sekolah negeri gada tuh suruh hapalan surat pendek hapalin perkalian sama ibu kota negara nah baru iya bener,saya sekolah negeri gada tuh suruh hapalan surat pendek hapalin perkalian sama ibu kota negara nah baru iya benar,"['saya', 'sekolah', 'negeri', 'gada', 'tuh', 'suruh', 'hapalan', 'surat', 'pendek', 'hapalin', 'perkalian', 'sama', 'ibu', 'kota', 'negara', 'nah', 'baru', 'iya', 'benar']","['sekolah', 'negeri', 'gada', 'suruh', 'hapalan', 'surat', 'pendek', 'hapalin', 'perkalian', 'kota', 'negara', 'iya']",-1,negative,"[('sekolah', 3), ('pendek', 1)]","[('suruh', -2), ('pendek', -2), ('kota', -1)]"
371,@KoalisiNetizen Masyarakat Papua Antusias Menyambut Pemindahan Ibu Kota Nusantara #IbuKotaNegara,@KoalisiNetizen Masyarakat Papua Antusias Menyambut Pemindahan Ibu Kota Nusantara #Ibu Kota Negara,masyarakat papua antusias menyambut pemindahan ibu kota nusantara ibu kota negara,masyarakat papua antusias menyambut pemindahan ibu kota nusantara ibu kota negara,"['masyarakat', 'papua', 'antusias', 'menyambut', 'pemindahan', 'ibu', 'kota', 'nusantara', 'ibu', 'kota', 'negara']","['masyarakat', 'papua', 'antusias', 'menyambut', 'pemindahan', 'kota', 'nusantara', 'kota', 'negara']",-3,negative,"[('antusias', 2)]","[('antusias', -3), ('kota', -1), ('kota', -1)]"
834,Kunjungan ibu negara ke kosan di kota penugasan. Agenda yg diusung beliau adalah; 1. Membantu packing barang &amp; pakaian yang harus dibawa selama cuti lebaran; 2. Memberikan nasihat &amp; dukungan finansial selama cuti lebaran; dan 3. Persatuan Indonesia 🇮🇩 #berpuasasekelurahan ‍️ https://t.co/H3ANTF2DGT,Kunjungan ibu negara ke kosan di kota penugasan. Agenda yg diusung beliau adalah; 1. Membantu packing barang &amp; pakaian yang harus dibawa selama cuti lebaran; 2. Memberikan nasihat &amp; dukungan finansial selama cuti lebaran; dan 3. Persatuan Indonesia 🇮🇩 #berpuasasekelurahan ‍️ https://t.co/H3ANTF2DGT,kunjungan ibu negara ke kosan di kota penugasan agenda yg diusung beliau adalah  membantu packing barang amp pakaian yang harus dibawa selama cuti lebaran  memberikan nasihat amp dukungan finansial selama cuti lebaran dan  persatuan indonesia berpuasasekelurahan,kunjungan ibu negara ke kosan di kota penugasan agenda yang diusung beliau adalah  membantu packing barang amp pakaian yang harus dibawa selama cuti lebaran  memberikan nasihat amp dukungan finansial selama cuti lebaran dan  persatuan indonesia berpuasasekelurahan,"['kunjungan', 'ibu', 'negara', 'ke', 'kosan', 'di', 'kota', 'penugasan', 'agenda', 'yang', 'diusung', 'beliau', 'adalah', 'membantu', 'packing', 'barang', 'amp', 'pakaian', 'yang', 'harus', 'dibawa', 'selama', 'cuti', 'lebaran', 'memberikan', 'nasihat', 'amp', 'dukungan', 'finansial', 'selama', 'cuti', 'lebaran', 'dan', 'persatuan', 'indonesia', 'berpuasasekelurahan']","['kunjungan', 'negara', 'kosan', 'kota', 'penugasan', 'agenda', 'diusung', 'beliau', 'membantu', 'packing', 'barang', 'pakaian', 'dibawa', 'cuti', 'lebaran', 'nasihat', 'dukungan', 'finansial', 'cuti', 'lebaran', 'persatuan', 'indonesia', 'berpuasasekelurahan']",2,positive,"[('membantu', 4), ('cuti', 3), ('dukungan', 4), ('cuti', 3)]","[('kota', -1), ('membantu', -4), ('cuti', -2), ('nasihat', -3), ('cuti', -2)]"
456,Pemindahan aparatur sipil negara ke Ibu Kota Nusantara di Kalimantan Timur dinilai terlalu tergesa-gesa. https://t.co/pWeLNspK8C #VideoBerita #AdadiKompas,Pemindahan aparatur sipil negara ke Ibu Kota Nusantara di Kalimantan Timur dinilai terlalu tergesa-gesa. https://t.co/pWeLNspK8C #Video Berita #Adadi Kompas,pemindahan aparatur sipil negara ke ibu kota nusantara di kalimantan timur dinilai terlalu tergesa-gesa video berita adadi kompas,pemindahan aparatur sipil negara ke ibu kota nusantara di kalimantan timur dinilai terlalu tergesa-gesa video berita adadi kompas,"['pemindahan', 'aparatur', 'sipil', 'negara', 'ke', 'ibu', 'kota', 'nusantara', 'di', 'kalimantan', 'timur', 'dinilai', 'terlalu', 'tergesa-gesa', 'video', 'berita', 'adadi', 'kompas']","['pemindahan', 'aparatur', 'sipil', 'negara', 'kota', 'nusantara', 'kalimantan', 'timur', 'dinilai', 'tergesa-gesa', 'video', 'berita', 'adadi', 'kompas']",-8,negative,[],"[('kota', -1), ('berita', -4), ('kompas', -3)]"
247,Setelah upacara HUT Kemerdekaan RI di Bandara Ibu Kota Nusantara (IKN) Aparatur Sipil Negara (ASN) akan segera berpindah. Langkah ini menandai perjalanan baru dalam memperkuat Indonesia Maju. #iknnusantara #IndonesiaMaju https://t.co/H8bO3YNSSH,Setelah upacara HUT Kemerdekaan RI di Bandara Ibu Kota Nusantara (IKN) Aparatur Sipil Negara (ASN) akan segera berpindah. Langkah ini menandai perjalanan baru dalam memperkuat Indonesia Maju. #iknnusantara #Indonesia Maju https://t.co/H8bO3YNSSH,setelah upacara hut kemerdekaan ri di bandara ibu kota nusantara ikn aparatur sipil negara asn akan segera berpindah langkah ini menandai perjalanan baru dalam memperkuat indonesia maju iknnusantara indonesia maju,setelah upacara hut kemerdekaan republik indonesia di bandara ibu kota nusantara ibu kota negara aparatur sipil negara asn akan segera berpindah langkah ini menandai perjalanan baru dalam memperkuat indonesia maju ibu kota negara nusantara indonesia maju,"['setelah', 'upacara', 'hut', 'kemerdekaan', 'republik', 'indonesia', 'di', 'bandara', 'ibu', 'kota', 'nusantara', 'ibu', 'kota', 'negara', 'aparatur', 'sipil', 'negara', 'asn', 'akan', 'segera', 'berpindah', 'langkah', 'ini', 'menandai', 'perjalanan', 'baru', 'dalam', 'memperkuat', 'indonesia', 'maju', 'ibu', 'kota', 'negara', 'nusantara', 'indonesia', 'maju']","['upacara', 'hut', 'kemerdekaan', 'republik', 'indonesia', 'bandara', 'kota', 'nusantara', 'kota', 'negara', 'aparatur', 'sipil', 'negara', 'asn', 'berpindah', 'langkah', 'menandai', 'perjalanan', 'memperkuat', 'indonesia', 'maju', 'kota', 'negara', 'nusantara', 'indonesia', 'maju']",4,positive,"[('langkah', 4), ('memperkuat', 3)]","[('kota', -1), ('kota', -1), ('kota', -1)]"
958,@godhongcoffee Ibu kota negara bukan hanya impian tetapi harus diwujudkan bersama,@godhongcoffee Ibu kota negara bukan hanya impian tetapi harus diwujudkan bersama,ibu kota negara bukan hanya impian tetapi harus diwujudkan bersama,ibu kota negara bukan hanya impian tetapi harus diwujudkan bersama,"['ibu', 'kota', 'negara', 'bukan', 'hanya', 'impian', 'tetapi', 'harus', 'diwujudkan', 'bersama']","['kota', 'negara', 'impian', 'diwujudkan']",2,positive,"[('impian', 3)]","[('kota', -1)]"
826,Proyek ini bertujuan untuk meningkatkan infrastruktur olahraga dan mendukung perkembangan sepak bola di Indonesia. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/Zq12UJ1snW,Proyek ini bertujuan untuk meningkatkan infrastruktur olahraga dan mendukung perkembangan sepak bola di Indonesia. #Ibu Kota Negara #IKNNusantara #Pindah Ibu Kota https://t.co/Zq12UJ1snW,proyek ini bertujuan untuk meningkatkan infrastruktur olahraga dan mendukung perkembangan sepak bola di indonesia ibu kota negara iknnusantara pindah ibu kota,proyek ini bertujuan untuk meningkatkan infrastruktur olahraga dan mendukung perkembangan sepak bola di indonesia ibu kota negara ibu kota negara nusantara pindah ibu kota,"['proyek', 'ini', 'bertujuan', 'untuk', 'meningkatkan', 'infrastruktur', 'olahraga', 'dan', 'mendukung', 'perkembangan', 'sepak', 'bola', 'di', 'indonesia', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'nusantara', 'pindah', 'ibu', 'kota']","['proyek', 'bertujuan', 'meningkatkan', 'infrastruktur', 'olahraga', 'mendukung', 'perkembangan', 'sepak', 'bola', 'indonesia', 'kota', 'negara', 'kota', 'negara', 'nusantara', 'pindah', 'kota']",-10,negative,"[('perkembangan', 2), ('pindah', 1)]","[('perkembangan', -4), ('sepak', -3), ('kota', -1), ('kota', -1), ('pindah', -3), ('kota', -1)]"
977,Kementerian PUPR memanfaatkan teknologi MOBOX dalam membangun hunian di IKN Nusantara #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/r3iZcuPKp6,Kementerian PUPR memanfaatkan teknologi MOBOX dalam membangun hunian di IKN Nusantara #Ibu Kota Negara #IKNNusantara #Pindah Ibu Kota https://t.co/r3iZcuPKp6,kementerian pupr memanfaatkan teknologi mobox dalam membangun hunian di ikn nusantara ibu kota negara iknnusantara pindah ibu kota,kementerian pupr memanfaatkan teknologi mobox dalam membangun hunian di ibu kota negara nusantara ibu kota negara ibu kota negara nusantara pindah ibu kota,"['kementerian', 'pupr', 'memanfaatkan', 'teknologi', 'mobox', 'dalam', 'membangun', 'hunian', 'di', 'ibu', 'kota', 'negara', 'nusantara', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'nusantara', 'pindah', 'ibu', 'kota']","['kementerian', 'pupr', 'memanfaatkan', 'teknologi', 'mobox', 'membangun', 'hunian', 'kota', 'negara', 'nusantara', 'kota', 'negara', 'kota', 'negara', 'nusantara', 'pindah', 'kota']",-6,negative,"[('pindah', 1)]","[('kota', -1), ('kota', -1), ('kota', -1), ('pindah', -3), ('kota', -1)]"
298,@stvrIette @skiesgyuu ibu kota negara baru kita,@stvrIette @skiesgyuu ibu kota negara baru kita,ibu kota negara baru kita,ibu kota negara baru kita,"['ibu', 'kota', 'negara', 'baru', 'kita']","['kota', 'negara']",-1,negative,[],"[('kota', -1)]"
101,Transformasi Mobilitas: Sistem Transportasi Cerdas Membuka Jalan untuk IKN. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/LmIvLqTAAw,Transformasi Mobilitas: Sistem Transportasi Cerdas Membuka Jalan untuk IKN. #Ibu Kota Negara #IKNNusantara #Pindah Ibu Kota https://t.co/LmIvLqTAAw,transformasi mobilitas sistem transportasi cerdas membuka jalan untuk ikn ibu kota negara iknnusantara pindah ibu kota,transformasi mobilitas sistem transportasi cerdas membuka jalan untuk ibu kota negara ibu kota negara ibu kota negara nusantara pindah ibu kota,"['transformasi', 'mobilitas', 'sistem', 'transportasi', 'cerdas', 'membuka', 'jalan', 'untuk', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'ibu', 'kota', 'negara', 'nusantara', 'pindah', 'ibu', 'kota']","['transformasi', 'mobilitas', 'sistem', 'transportasi', 'cerdas', 'membuka', 'jalan', 'kota', 'negara', 'kota', 'negara', 'kota', 'negara', 'nusantara', 'pindah', 'kota']",-10,negative,"[('pindah', 1)]","[('sistem', -4), ('kota', -1), ('kota', -1), ('kota', -1), ('pindah', -3), ('kota', -1)]"
751,@DokterTifa Setuju Bu termasuk pemindahan ibu kota agar muda nantinya menguasai Indonesia apalagi sekarang para buruh/ pekerja dari cina sementara tingkat pengangguran di negara kita sangat besar ini tentunya tidak sesuai dengan visi misi pak presiden,@DokterTifa Setuju Bu termasuk pemindahan ibu kota agar muda nantinya menguasai Indonesia apalagi sekarang para buruh/ pekerja dari cina sementara tingkat pengangguran di negara kita sangat besar ini tentunya tidak sesuai dengan visi misi pak presiden,setuju bu termasuk pemindahan ibu kota agar muda nantinya menguasai indonesia apalagi sekarang para buruh pekerja dari cina sementara tingkat pengangguran di negara kita sangat besar ini tentunya tidak sesuai dengan visi misi pak presiden,setuju bu termasuk pemindahan ibu kota agar muda nantinya menguasai indonesia apalagi sekarang para buruh pekerja dari cina sementara tingkat pengangguran di negara kita sangat besar ini tentunya tidak sesuai dengan visi misi pak presiden,"['setuju', 'bu', 'termasuk', 'pemindahan', 'ibu', 'kota', 'agar', 'muda', 'nantinya', 'menguasai', 'indonesia', 'apalagi', 'sekarang', 'para', 'buruh', 'pekerja', 'dari', 'cina', 'sementara', 'tingkat', 'pengangguran', 'di', 'negara', 'kita', 'sangat', 'besar', 'ini', 'tentunya', 'tidak', 'sesuai', 'dengan', 'visi', 'misi', 'pak', 'presiden']","['setuju', 'bu', 'pemindahan', 'kota', 'muda', 'menguasai', 'indonesia', 'buruh', 'pekerja', 'cina', 'tingkat', 'pengangguran', 'negara', 'sesuai', 'visi', 'misi', 'presiden']",6,positive,"[('setuju', 4), ('pekerja', 3), ('tingkat', 1), ('sesuai', 3), ('visi', 2), ('presiden', 3)]","[('setuju', -3), ('kota', -1), ('muda', -2), ('pengangguran', -4)]"
