text,label,text_clean
"Bayak burung2,  binatang langka dan tumbuhan2 langka  yg akan hilang. Jika ikn benar2 jadi dipindahkan, ingat dulu rajaampat sudah diperingatkan terumbukarangnya akan rusak jika di buka wisata. Akhirnya beneran terjadi kan. Belajarlah dari kasalahan2 sebelumnya.",negative,bayak burung binatang langka dan tumbuhan langka yg akan hilang jika ikn benar jadi dipindahkan ingat dulu rajaampat sudah diperingatkan terumbukarangnya akan rusak jika di buka wisata akhirnya beneran terjadi kan belajarlah dari kasalahan sebelumnya
Insinyur kehutanan siluman yang merusak hutan kalimantan ratusan ribu hektar demi ambisi menambah hutang negara untuk sebuah proyek bernama Ibukota Klenik Nusantara. Taruhan berapa IKN mogok alias mangkrak alias bangkrut..!?,negative,insinyur kehutanan siluman yang merusak hutan kalimantan ratusan ribu hektar demi ambisi menambah hutang negara untuk sebuah proyek bernama ibukota klenik nusantara taruhan berapa ikn mogok alias mangkrak alias bangkrut
"Bp wapres ko tenang"" aja kagak kedengaran suaranya padahal ada pendeta  minta hapus 300 ayat Al-Quran.. kemping di ikn ga keliatan..juga masalah migor adem ayem 
Semoga pa Yai sehat selalu Aamiin",negative,bp wapres ko tenang aja kagak kedengaran suaranya padahal ada pendeta minta hapus  ayat al-quran kemping di ikn ga keliatan juga masalah migor adem ayem semoga pa yai sehat selalu aamiin
"Hayoo..ASN, 2024 masih pilih yg memaksa ke IKN ??",negative,hayoo asn  masih pilih yg memaksa ke ikn
"Cina diprediksi akan menyerang/invasi Taiwan di musim gugur (Agustus-September) tahun ini.
Jangan hanya sibuk urus IKN dan minyak goreng aja. Better be prepared for the worst...",negative,cina diprediksi akan menyeranginvasi taiwan di musim gugur agustus-september tahun ini jangan hanya sibuk urus ikn dan minyak goreng aja better be prepared for the worst
Palingan IKN belum apa2 sudah ganti rezim,negative,palingan ikn belum apa sudah ganti rezim
"Kalau IKN dah jadi dan fasilitasnya sudah lengkap pasti pada mau.

Kalau sekarang suruh pindah, disana suruh ngapain.

Yang disana gak ada semalam saja sudah gak betah",negative,kalau ikn dah jadi dan fasilitasnya sudah lengkap pasti pada mau kalau sekarang suruh pindah disana suruh ngapain yang disana gak ada semalam saja sudah gak betah
"Kalo enak, ya silahkan anda pindah ke IKN.
Kalo kami sih jauh, kayak dari ujung kulon ke Surabaya.
Dan kami disini yg tidak setuju, memang sudah merasa nyaman akan daerah kami tanpa hiruk pikuk embel2 ibu kota.",negative,kalo enak ya silahkan anda pindah ke ikn kalo kami sih jauh kayak dari ujung kulon ke surabaya dan kami disini yg tidak setuju memang sudah merasa nyaman akan daerah kami tanpa hiruk pikuk embel ibu kota
Pemindahan IKN tanda akhir zaman,negative,pemindahan ikn tanda akhir zaman
"Klu nggak salah, Rasulullah hijrahnya ke Madinah yg merupakan kota. Kok pindah  IKN ke tengah hutan disepertikan hijrah Rasulullah...",negative,klu nggak salah rasulullah hijrahnya ke madinah yg merupakan kota kok pindah ikn ke tengah hutan disepertikan hijrah rasulullah
"Krn memang sdh hbs masa jabatannya dan sdh 2 periode.

Hayolah pak, jgn gara² IKN bpk bikin statemen yg membodohi rakyat. 
Apa bapak mau ngajarin rakyat melanggar konstitusi?

Semoga tidak ada upaya utk menggolkan penundaan pemilu, perpanjangan masa jabatan, ato 3 periode. Aamiin",negative,krn memang sdh hbs masa jabatannya dan sdh  periode hayolah pak jgn gara ikn bpk bikin statemen yg membodohi rakyat apa bapak mau ngajarin rakyat melanggar konstitusi semoga tidak ada upaya utk menggolkan penundaan pemilu perpanjangan masa jabatan ato  periode aamiin
Setelah habis kemping di IKN akhirnya harga minyak ditetapkan...,negative,setelah habis kemping di ikn akhirnya harga minyak ditetapkan
Apo ado hubungannya DG bawa tanah minang ke ikn ?,negative,apo ado hubungannya dg bawa tanah minang ke ikn
Gaada unta emang bisa jadi IKN?,negative,gaada unta emang bisa jadi ikn
"Lantas yang tempohari ngamuk2 sampe ada yg pamer mandau terbang segala untuk menanantang penentang penetapan IKN disana, siapa dan dari kelompok mana ?",negative,lantas yang tempohari ngamuk sampe ada yg pamer mandau terbang segala untuk menanantang penentang penetapan ikn disana siapa dan dari kelompok mana
Tunda IKN utk biaya menjalankan kontitusi,negative,tunda ikn utk biaya menjalankan kontitusi
"Biaekan saja minyak goreng mahal, daging sapi Dikuasai kartel, daging ayam mahal....kan bangun IKN tidak butuh yang begituan.....",negative,biaekan saja minyak goreng mahal daging sapi dikuasai kartel daging ayam mahal kan bangun ikn tidak butuh yang begituan
Prediksi saya IKN akan buat musibah banjir bandang dikalimantan.,negative,prediksi saya ikn akan buat musibah banjir bandang dikalimantan
Hasil kemah di IKN ya?? Tega benar mereka sama rakyat ya??? Big data plus bohong big kuasa big rakus...buat rakyat big susah mesti big sabar...bug sabar biar gak du cap radikal...terimakasih karena dzikir yg membersamai kami maka sabar masih didada.,negative,hasil kemah di ikn ya tega benar mereka sama rakyat ya big data plus bohong big kuasa big rakus buat rakyat big susah mesti big sabar bug sabar biar gak du cap radikal terimakasih karena dzikir yg membersamai kami maka sabar masih didada
"Jadi gini, IKN itu bukan proyek abal2, butuh dana besar untuk mewujudkannya.
Yg jadi masalahnya cuma satu: Dananya Kagak Ada.
Makanya yang bisa dilalukan baru sebatas seremoni pamer kendi.

Badingkan Saudi yg punya duit, bangun apapun mana pernah pake pamer kendi?.
Tau2 Jadi.",negative,jadi gini ikn itu bukan proyek abal butuh dana besar untuk mewujudkannya yg jadi masalahnya cuma satu dananya kagak ada makanya yang bisa dilalukan baru sebatas seremoni pamer kendi badingkan saudi yg punya duit bangun apapun mana pernah pake pamer kendi tau jadi
"Apa tidak diajak rembugan?
Tidak dilibatkan dalam proyek IKN?",negative,apa tidak diajak rembugan tidak dilibatkan dalam proyek ikn
IKN singkatan opo seh? Ibukota Karbitan?,negative,ikn singkatan opo seh ibukota karbitan
"Padahal udah dikasih tau dari dulu, pembangunan IKN itu belum perlu karena masih banyak kebutuhan negara yg belum tercukupi.
Eh... Malah ngeyel. Giliran hutang membengkak, investor pada gak mau nanem dana di proyek... Pake alesan ada makelar lah, tnh udh di kavlinglah. RUWET",negative,padahal udah dikasih tau dari dulu pembangunan ikn itu belum perlu karena masih banyak kebutuhan negara yg belum tercukupi eh malah ngeyel giliran hutang membengkak investor pada gak mau nanem dana di proyek pake alesan ada makelar lah tnh udh di kavlinglah ruwet
"Maksudya bisa jadi SOP baru utk mensejahterakan oligarki .. bisa jadi apalagi momentnya pas, mau puasa dan IKN butuh banyak biaya ... ah nggak percuma nyepi di titik nol...",negative,maksudya bisa jadi sop baru utk mensejahterakan oligarki bisa jadi apalagi momentnya pas mau puasa dan ikn butuh banyak biaya ah nggak percuma nyepi di titik nol
"IKN IKN, urus tuh harga minyak goreng!",negative,ikn ikn urus tuh harga minyak goreng
"Banjir lagi OTW ke IKN.,...via Balikpapan...",negative,banjir lagi otw ke ikn via balikpapan
"Yang paling ditakutkan dari mutasi ke IKN baru itu bukan pindah jauh dari keluarga, tapi temen2nya ikut pindah juga gak.",negative,yang paling ditakutkan dari mutasi ke ikn baru itu bukan pindah jauh dari keluarga tapi temennya ikut pindah juga gak
"Dipaksakan bangun ikn dari hutang masalah distribusi migor , solar juga ngak bener ngak cari solusi utk rakyat",negative,dipaksakan bangun ikn dari hutang masalah distribusi migor solar juga ngak bener ngak cari solusi utk rakyat
"Prilaku bangsa kita cenderung lebih suka becanda ya, Segalah ritual kendi yg jd sorotan publik. fokus soroti dampak lingkungan, ekonomi, pertahanan dll knp jd kendi yg rame, jdinya suara dr istana malah jelasin soal kendi kan bkn IKN.
#Gempa
#jokowi3periode
#Tangkap2AnakJokowi",negative,prilaku bangsa kita cenderung lebih suka becanda ya segalah ritual kendi yg jd sorotan publik fokus soroti dampak lingkungan ekonomi pertahanan dll knp jd kendi yg rame jdinya suara dr istana malah jelasin soal kendi kan bkn ikn gempa jokowiperiode tangkapanak jokowi
"Tidak ada makan siang yang gratis, emang kemah semua gratis..?? Siapa yang keluar biaya?? Negara ?? Ngawur..ñegara ga keluar  uang..semua pembiayaan  IKN non APBN..termasuk kemah..terus siapa yang biayai...yang biayai adalah MINYAK GORENG JADI NAIK..",negative,tidak ada makan siang yang gratis emang kemah semua gratis siapa yang keluar biaya negara ngawur negara ga keluar uang semua pembiayaan ikn non apbn termasuk kemah terus siapa yang biayai yang biayai adalah minyak goreng jadi naik
"Lahhhh? 
Lu kudet apa kemaren di IKN masih pada Maskeran

2 hari kemudian parade MotoGP malah Ambyarrrr",negative,lahhhh lu kudet apa kemaren di ikn masih pada maskeran  hari kemudian parade motogp malah ambyarrrr
Mohon bersabar....demi menambah dana untuk IKN soalnya,negative,mohon bersabar demi menambah dana untuk ikn soalnya
Korban minyak goreng. Presiden masuk sibuk ikn dalam ritual model esmka,negative,korban minyak goreng presiden masuk sibuk ikn dalam ritual model esmka
𝘽... Yg di ikn bloon,negative, yg di ikn bloon
Satu lagi Proyek Bisnis IKN...,negative,satu lagi proyek bisnis ikn
"Busyeeet dah, harga edan dihari nol IKN",negative,busyeeet dah harga edan dihari nol ikn
"Kalau tidak bisa menyelenggarakan pemilu, mundur  aja dari jabatan..Gak usah sok Ngurusin Negara... HUt jangan bilang Anggaran Habis utk Biayai IKN...",negative,kalau tidak bisa menyelenggarakan pemilu mundur aja dari jabatan gak usah sok ngurusin negara hut jangan bilang anggaran habis utk biayai ikn
"Mungkin pas pelajaran IPS pak Ganjar mbolos
IKN tanpa Jateng",negative,mungkin pas pelajaran ips pak ganjar mbolos ikn tanpa jateng
"minyak naik terus harganya, ikn jalan terus, makin morat marit aja dah ni negara hhhhh",negative,minyak naik terus harganya ikn jalan terus makin morat marit aja dah ni negara hhhhh
"Woi bego 
Buat biayain ikn kumpulan satu kalimantan bisa kok.
Setoran nya tiap tahun dari tahun 1975 lebih dari 500T.
Sekarang sudah lebih 40 tahun

Apa perlu gausah disetor ke jakarta biar orang kaya elu mampos??",negative,woi bego buat biayain ikn kumpulan satu kalimantan bisa kok setoran nya tiap tahun dari tahun  lebih dari  sekarang sudah lebih  tahun apa perlu gausah disetor ke jakarta biar orang kaya elu mampos
Alam yg indah akan dirusak dengan pembangunan  IKN,negative,alam yg indah akan dirusak dengan pembangunan ikn
Arab Saudi pasti tidak akan berani investasi IKN. Mereka tau di Indonesia Si Kribo yang kemarin menghina-hina Arab bisa hidup tenteram tanpa di negara ini.,negative,arab saudi pasti tidak akan berani investasi ikn mereka tau di indonesia si kribo yang kemarin menghina-hina arab bisa hidup tenteram tanpa di negara ini
Biar dapet dana buat IKN ya,negative,biar dapet dana buat ikn ya
Setuju banget bang....stop IKN,negative,setuju banget bang stop ikn
Seakan2 anda tau dan faham bahwa yg dilakukan di IKN itu ritual dan syirik. Anda lupa seremoni dan makna simbolis nya. Apa anda hadir juga nanti utk membuktikan? Anehnya hanya saaat Jokowi jd presiden saja apapun yg dilakukan banyak menuai pro kontra dan siapa yg mem viralkan.,negative,seakan anda tau dan faham bahwa yg dilakukan di ikn itu ritual dan syirik anda lupa seremoni dan makna simbolis nya apa anda hadir juga nanti utk membuktikan anehnya hanya saaat jokowi jd presiden saja apapun yg dilakukan banyak menuai pro kontra dan siapa yg mem viralkan
Iyalah fokusnya ke IKN dan lanjut preriode nya. Manalah ingat dngen janji2 yg di sampikn saat mencari suara rakyat,negative,iyalah fokusnya ke ikn dan lanjut preriode nya manalah ingat dngen janji yg di sampikn saat mencari suara rakyat
"Bisa jadi  warga asli di sekitar IKN akan bernasib dg sebahagian besar warga betawi  yg tersingkir dan ""terusir"" dr jakarta...colek 
@PakkatDayak
 ..",negative,bisa jadi warga asli di sekitar ikn akan bernasib dg sebahagian besar warga betawi yg tersingkir dan terusir dr jakarta colek
"Tapi sdh terlmbat,
Titik nol sdh di tetapkn.
Artinya UU IKN untuk mengawal pembangunan IKN.
Titik nol ibarat,peletakan batu pondasi,mau tdk mau pembgunan hrs jln terus.
Ngeluhnya sdh tak berarti.",negative,tapi sdh terlmbat titik nol sdh di tetapkn artinya uu ikn untuk mengawal pembangunan ikn titik nol ibarat peletakan batu pondasi mau tdk mau pembgunan hrs jln terus ngeluhnya sdh tak berarti
Pa Jokowinya lagi urus moto gp dan ikn...jadi gak fokus urus orang radikal..jd lupa pesan bawahannya,negative,pa jokowinya lagi urus moto gp dan ikn jadi gak fokus urus orang radikal jd lupa pesan bawahannya
"Gurunya yang kurang cerdas 
#IKN_RampasHakRakyat 
#PinokioRajaKlenik",negative,gurunya yang kurang cerdas ikn_rampas hak rakyat pinokio raja klenik
Jangan urusin IKN dah lah Minyak Goreng tuh yg urgent ...,negative,jangan urusin ikn dah lah minyak goreng tuh yg urgent
Dia di kota ga ngerasain tanahnya di patok IKN,negative,dia di kota ga ngerasain tanahnya di patok ikn
"Ada yg mau bela warga lokal sekitar IKN? Pamer Mandau gtu! 
@PakkatDayak
 ud denger keluhan warga sekitar IKN ini g? Apa mau bilang itu bukan warga asli?",negative,ada yg mau bela warga lokal sekitar ikn pamer mandau gtu ud denger keluhan warga sekitar ikn ini  apa mau bilang itu bukan warga asli
"Kami tak bgtu butuh ikn baru
Yg kmi butuh saat ini kestabilan harga swmbako pak jokowi",negative,kami tak bgtu butuh ikn baru yg kmi butuh saat ini kestabilan harga swmbako pak jokowi
"dengan proses pembentukan UU IKN yang hanya memerlukan waktu 42 (empat puluh dua) hari dan terlihat terburu-buru, sehingga tidak membuka partisipasi publik secara maksimal sangat berpotensi menimbulkan konflik horizontal di lapangan. (3/3)

#MengawalKonstitusi
#salaMKonstitusi",negative,dengan proses pembentukan uu ikn yang hanya memerlukan waktu  empat puluh dua hari dan terlihat terburu-buru sehingga tidak membuka partisipasi publik secara maksimal sangat berpotensi menimbulkan konflik horizontal di lapangan  mengawal konstitusi sala mkonstitusi
"Hasil menyendiri di hutan IKN ternyata solusinya naikin harga minyak goreng, halah joooon jok.",negative,hasil menyendiri di hutan ikn ternyata solusinya naikin harga minyak goreng halah joooon jok
"Belum ada yg posting open donasi IKN  ya ??
Katanya ada yg gembar gembor mau nyumbang tuh kang aGus",negative,belum ada yg posting open donasi ikn ya katanya ada yg gembar gembor mau nyumbang tuh kang agus
Mau ngontrak az..ribet banget daah ah...ikn..ingin korupsi nambah,negative,mau ngontrak az ribet banget daah ah ikn ingin korupsi nambah
Huh cape denger ikn,negative,huh cape denger ikn
Krn salah tanah dn air maka IKN terbatalkan scra mistis,negative,krn salah tanah dn air maka ikn terbatalkan scra mistis
"Kalau membangun dgn memaksakan diri di tengah krisis seperti sekarang ini apa lagi membebani APBN atau menambah beban hutang itu namanya
#IKN_RampasHakRakyat",negative,kalau membangun dgn memaksakan diri di tengah krisis seperti sekarang ini apa lagi membebani apbn atau menambah beban hutang itu namanya ikn_rampas hak rakyat
"Rakyat selalu menjadi tumbal demi kepentingan dan ambisi para pejabat negara 

#IKN_RampasHakRakyat",negative,rakyat selalu menjadi tumbal demi kepentingan dan ambisi para pejabat negara ikn_rampas hak rakyat
"Bos IKN nya siapa ????
Orang Utan ya",negative,bos ikn nya siapa orang utan ya
"Datanya Gak Ada. 
Manusia ini kan biasa Bohong.
 
#RitualSyirik 
#IKN_RampasHakRakyat 

Astagfirullah
Na'uzubillahiminzalik",negative,datanya gak ada manusia ini kan biasa bohong ritual syirik ikn_rampas hak rakyat astagfirullah nauzubillahiminzalik
"Presidennya Ganti jg bakalan Mangkrak proyek IKN,
Coba lihat saja nanti.
Makanya ngotot minta perpanjangan Jabatan..",negative,presidennya ganti jg bakalan mangkrak proyek ikn coba lihat saja nanti makanya ngotot minta perpanjangan jabatan
"IKN mmg dibuat atas pesanan china, dmn thn 65 sdh diisuekan oleh komunis utk memindah ibukota kesana.
Jk ini terlaksana, China menang dan Indonesia akan tinggal kenangan. Jd Indochina.
Gagalkan IKN.!

#Tangkap2AnakJokowi 
#Tangkap2AnakJokowi 

Secepatnya.!",negative,ikn mmg dibuat atas pesanan china dmn thn  sdh diisuekan oleh komunis utk memindah ibukota kesana jk ini terlaksana china menang dan indonesia akan tinggal kenangan jd indochina gagalkan ikn tangkapanak jokowi tangkapanak jokowi secepatnya
"Berapa banyak aset negara di Jakarta yang tiba-tiba tak terpakai karena pada pindah ke IKN? Ratusan? Ribuan?

Di mana posisi aset-aset itu? Di tempat sangat-sangat strategis bukan?",negative,berapa banyak aset negara di jakarta yang tiba-tiba tak terpakai karena pada pindah ke ikn ratusan ribuan di mana posisi aset-aset itu di tempat sangat-sangat strategis bukan
"Bisaan

#IKN_RampasHakRakyat
#PinokioRajaKlenik",negative,bisaan ikn_rampas hak rakyat pinokio raja klenik
KPK Terus Bergerak Bongkar Sindikat Bagi-bagi Lahan di IKN Nusantara. Terus kalau sudah terbongkar kalian mau apa? Berani? Kalau ternyata para pelakunya pihak2 yg bisa menendang kalian? Harun Masiku yg orang biasa saja situ gak mampu aplg para Boss IKN yg duitnya tak berseri?,negative,kpk terus bergerak bongkar sindikat bagi-bagi lahan di ikn nusantara terus kalau sudah terbongkar kalian mau apa berani kalau ternyata para pelakunya pihak yg bisa menendang kalian harun masiku yg orang biasa saja situ gak mampu aplg para boss ikn yg duitnya tak berseri
"Weitz kata sapah susu langsg glek, tetep bae bang kudu diperess dulu ahh

#IKN_RampasHakRakyat
#PinokioRajaKlenik",negative,weitz kata sapah susu langsg glek tetep bae bang kudu diperess dulu ahh ikn_rampas hak rakyat pinokio raja klenik
"Setelah jokowi camping di IKN apakah bahan pokok turun harga dan mudah di jangkau rakyat.... ? 

#PeoplePowerMakzulkanJokowi
#PeoplePowerMakzulkanJokowi",negative,setelah jokowi camping di ikn apakah bahan pokok turun harga dan mudah di jangkau rakyat people power makzulkan jokowi people power makzulkan jokowi
"Betul, Baiknya Hukum Rimba.

#IKN_RampasHakRakyat
#PinokioRajaKlenik",negative,betul baiknya hukum rimba ikn_rampas hak rakyat pinokio raja klenik
"Abis berkemah di ikn, makan eek",negative,abis berkemah di ikn makan eek
Ngibul aja                                              #IKN_RampasHakRakyat,negative,ngibul aja ikn_rampas hak rakyat
"China mah ga ngitung rugi y ,Chino mah ngitung untung y buat bisa nguasa wilayah IKN biar tambah luas kekuasaan y di negriku tercinta..",negative,china mah ga ngitung rugi  chino mah ngitung untung  buat bisa nguasa wilayah ikn biar tambah luas kekuasaan  di negriku tercinta
"#IKN_RampasHakRakyat
#PinokioRajaKlenik

Dikira Kabut Kali Yah, Saat Tengah Malam. Padahal Mah Kan Ada Sesuatu Yang Menganukan. Horee! Katepu, Nih Yeh.",negative,ikn_rampas hak rakyat pinokio raja klenik dikira kabut kali yah saat tengah malam padahal mah kan ada sesuatu yang menganukan horee katepu nih yeh
"@jokowi
 lagi pamerin Jakarta?  Mau pamerin IKN gagal kemaren",negative,lagi pamerin jakarta mau pamerin ikn gagal kemaren
"#IKN_RampasHakRakyat
#PinokioRajaKlenik

Karena Ada Tagar Diatas, Kuntilanak Yang Biasa Tertawa Ngadak Ngadak Ikut Menangis Juga.",negative,ikn_rampas hak rakyat pinokio raja klenik karena ada tagar diatas kuntilanak yang biasa tertawa ngadak ngadak ikut menangis juga
"Gak usah urusin IKN, jabar aja dulu benahin.",negative,gak usah urusin ikn jabar aja dulu benahin
"proyek IKN seperti Orang Buta Baru Melihat Indahnja Dunia.
..
Lalu Ingin Dikenang,,, Kayak Masa kecil Kurang Bahagia.
.
Jika Negara Dlm Keadaan Ekonomi Kuat,,,ya Boleh2 saja.
.itupun Harus cermat melangkah.
Bisa2 Jadi Castle Tak Berpenghuni.",negative,proyek ikn seperti orang buta baru melihat indahnja dunia lalu ingin dikenang kayak masa kecil kurang bahagia jika negara dlm keadaan ekonomi kuat ya boleh saja itupun harus cermat melangkah bisa jadi castle tak berpenghuni
"Terus kenapa loh maksain bangun IKN kl ndak ada dana, pake tuh otak.",negative,terus kenapa loh maksain bangun ikn kl ndak ada dana pake tuh otak
"Cepat atau lambat semua takkan terelakkan.
#IKN_RampasHakRakyat",negative,cepat atau lambat semua takkan terelakkan ikn_rampas hak rakyat
"Adakah yg menyaksikan keberhasilan ESEMKA dan  TOL LAUT?

Kira2 bgmn nasib IKN?",negative,adakah yg menyaksikan keberhasilan esemka dan tol laut kira bgmn nasib ikn
"Bagi saya gak qda Filosofi apapun, walaupun mewujudkan IKN juga sangat sulit kl hy PNS aja yang pindah, gak sampai 1 jt orang, yg jadi soal warga sipil sediakah pindah ke IKN?",negative,bagi saya gak qda filosofi apapun walaupun mewujudkan ikn juga sangat sulit kl hy pns aja yang pindah gak sampai  jt orang yg jadi soal warga sipil sediakah pindah ke ikn
IKN belum jadi Balikpapan kebanjiran..bagaimana kalau sudah jadi Balikpapan dan Samarinda tenggelam,negative,ikn belum jadi balikpapan kebanjiran bagaimana kalau sudah jadi balikpapan dan samarinda tenggelam
"Tarik mang 
#IKN_RampasHakRalyat",negative,tarik mang ikn_rampas hak ralyat
"IKN lanjut yah, Ambil duit dari mana yah? SOFTBANK aja mundur. Maksa amat. Demi ambisi, RAKYAT dibiarkan tercekik. Gua yakin uang proteknya mau dimainkan lagi wkwkwkkw.",negative,ikn lanjut yah ambil duit dari mana yah softbank aja mundur maksa amat demi ambisi rakyat dibiarkan tercekik gua yakin uang proteknya mau dimainkan lagi wkwkwkkw
Kita semua senang koq bakalan punya ibukota negara yg baru tapi tak perlu juga semua harus dikerjakan serba terburu buru dan jangan sampai #IKN_RampasHakRakyat,negative,kita semua senang koq bakalan punya ibukota negara yg baru tapi tak perlu juga semua harus dikerjakan serba terburu buru dan jangan sampai ikn_rampas hak rakyat
Kan yg punya dah dijadiin kepala ikn pa sinarmas kan pa ya ga ya ga ya ga pa? Hehehehe,negative,kan yg punya dah dijadiin kepala ikn pa sinarmas kan pa ya ga ya ga ya ga pa hehehehe
"Klo gk bisa menstabilkan harga minyak goreng, tunda pembangunan IKN",negative,klo gk bisa menstabilkan harga minyak goreng tunda pembangunan ikn
"Ya klo masalahnya sayang duit, ngapain buru2 bikin IKN,",negative,ya klo masalahnya sayang duit ngapain buru bikin ikn
"Atahan 
Rebusan 
Kulub weeh 
Bapak mimpin sampai IKN beres juga hayuuuk lah 
Kagok edan kita",negative,atahan rebusan kulub weeh bapak mimpin sampai ikn beres juga hayuuuk lah kagok edan kita
nanti ikn juga raib di temggelamkan,negative,nanti ikn juga raib di temggelamkan
"Banyak makan duren kali di IKN 
#PeoplePowerMakzulkanJokowi
#PeoplePowerMakzulkanJokowi",negative,banyak makan duren kali di ikn people power makzulkan jokowi people power makzulkan jokowi
"syarat tidak masuk akal, sejak awal. tapi sudah ditunjuk jadi komite pengarah pembangunan IKN. berarti sejak awal, syarat yg tidak masuk akal itu disetujui?",negative,syarat tidak masuk akal sejak awal tapi sudah ditunjuk jadi komite pengarah pembangunan ikn berarti sejak awal syarat yg tidak masuk akal itu disetujui
"Ngga di urus..kasian...
Abis IKN hari ini mamdalika",negative,ngga di urus kasian abis ikn hari ini mamdalika
"Dr sejak awal ampe skrg ni, kaya ada awan tebal selimuti proses perealisasian IKN
Investor yang baik, tidak akan berspekulasi, mengenai formal n materil sebuah kebijakan calon partner nya
Kecuali mmg sama-sama sekolam",negative,dr sejak awal ampe skrg ni kaya ada awan tebal selimuti proses perealisasian ikn investor yang baik tidak akan berspekulasi mengenai formal  materil sebuah kebijakan calon partner nya kecuali mmg sama-sama sekolam
"Terus IKN kepanpa dipaksakan walaupun masih pandemi jgn bodohi rkyat kecil dong pak,apa semua rkyat dikira bodoh semua mau percaya omongan bpak kagak deh",negative,terus ikn kepanpa dipaksakan walaupun masih pandemi jgn bodohi rkyat kecil dong pak apa semua rkyat dikira bodoh semua mau percaya omongan bpak kagak deh
"Proyek IKN 99% DipastikanBatal.
Kalau Tidak Percaya Kita Lihat Saja Nanti.",negative,proyek ikn  dipastikanbatal kalau tidak percaya kita lihat saja nanti
"Dasar manusia tamak.. Ga nyambung..ngomongi IKN.. Malah ke yaman..
Dasar ga punya otak. Dungu permanen..",negative,dasar manusia tamak ga nyambung ngomongi ikn malah ke yaman dasar ga punya otak dungu permanen
"Hey coba berpikir lebih kritis dan luas
Ikn hanya kepentingan para oligarki pengusaha2 nakal,
Lagian krisis minyak malah seneng2 camping, poto2",negative,hey coba berpikir lebih kritis dan luas ikn hanya kepentingan para oligarki pengusaha nakal lagian krisis minyak malah seneng camping poto
"Jangan beli GoTo. 
Softbank pemegang saham terbesar. Sudah ingkar janji mau investasi di ibukota baru IKN nusantara. 
Mau di khianati lagi?
@gojekindonesia",negative,jangan beli goto softbank pemegang saham terbesar sudah ingkar janji mau investasi di ibukota baru ikn nusantara mau di khianati lagi
"Ada skema hantu di IKN, makanya para investor gak ada yang mau.",negative,ada skema hantu di ikn makanya para investor gak ada yang mau
"Gk ush khawatir kosong IKN nya,,akan langsung penuh kok itu IKN,,tpi sm TKA",negative,gk ush khawatir kosong ikn nya akan langsung penuh kok itu ikn tpi sm tka
"Baca UUD Pak , cita2  besar bangsa bukan membangun ikn",negative,baca uud pak cita besar bangsa bukan membangun ikn
Ikn akan jadi kota utangan termahal dalam sejarah bangsa indo.,negative,ikn akan jadi kota utangan termahal dalam sejarah bangsa indo
Si Amies minta ikut camping GAK dikasih krn bawa air COMBERAN ke IKN,negative,si amies minta ikut camping gak dikasih krn bawa air comberan ke ikn
